name,minutes,playerId,team
Leandro Silva,1146,322648.0,Arouca
Eboue Kouassi,901,316658.0,Arouca
Pedro Moreira,1108,243573.0,Arouca
André Bukia,1439,298402.0,Arouca
Thales,1530,416503.0,Arouca
João Basso,1440,326486.0,Arouca
Norbert Haymamba,270,423351.0,Arouca
Mateus Quaresma,1147,416502.0,Arouca
Gastón Campi,362,136320.0,Arouca
Arsénio,1187,96271.0,Arouca
Oday Dabbagh,463,423912.0,Arouca
Pité,529,323573.0,Arouca
Antony,63,428999.0,Arouca
Eugeni Valderrama,500,113535.0,Arouca
Tiago Araújo,284,407140.0,Arouca
André Silva,1244,351703.0,Arouca
Victor Braga,720,291654.0,Arouca
Abdoulaye Ba,763,83058.0,Arouca
Omri Altman,135,130920.0,Arouca
Baptiste Aloe,68,113937.0,Arouca
José Manuel Velázquez,360,40822.0,Arouca
Joel Ferreira,45,322842.0,Arouca
Or Dasa,54,347810.0,Arouca
Adilio,101,416505.0,Arouca
Mauro Caballero,4,416506.0,Arouca
Fernando Castro,619,357466.0,Arouca
Tiago Esgaio,333,383609.0,Arouca
Brunão,17,416507.0,Arouca
Marco Soares,-2,43205.0,Arouca
