id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2353440437.0,2.0,0.0,0.0,299.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Benfica,Braga,
2353440447.0,2.0,0.0,0.0,288.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Benfica,Braga,
2353507911.0,1056.0,0.0,0.0,299.0,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Benfica,Braga,
2353508053.0,746.0,0.0,0.0,288.0,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Benfica,Braga,
2353407463.0,1.0,0.0,0.0,299.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'PlayerPosition', 'JerseyNumber', 'TeamFormation', 'InvolvedPlayers', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,Benfica,Braga,
2353410341.0,1.0,0.0,0.0,288.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'InvolvedPlayers', 'TeamPlayerFormation', 'CaptainPlayerId', 'TeamFormation', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Benfica,Braga,
2353440485.0,3.0,0.0,0.0,299.0,52.395,34.068000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'Length', 'Zone', 'PassEndX']","[90, 118, 116, 29, 35, 36, 215, 217]",True,142318.0,54.39,37.876000000000005,,,,,,,,,,,,False,Benfica,Braga,0.0020492999999999987
2353440519.0,4.0,0.0,2.0,299.0,54.39,37.876000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'Zone', 'PassEndY', 'StandingSave']","[90, 116, 29, 34, 36, 214, 217]",True,125476.0,34.86000000000001,46.036000000000016,,,,,,,,,,,,False,Benfica,Braga,-0.005790659999999998
2353440549.0,5.0,0.0,5.0,299.0,34.755,45.62800000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'StandingSave', 'PassEndY', 'Zone']","[90, 116, 29, 34, 37, 214, 217]",True,21778.0,33.705000000000005,31.96,,,,,,,,,,,,False,Benfica,Braga,0.0002191399999999996
2353440585.0,6.0,0.0,7.0,299.0,32.97,29.716000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'StandingSave', 'Length', 'PassEndX']","[90, 116, 29, 34, 37, 214, 217]",True,75691.0,31.919999999999998,16.184,,,,,,,,,,,,False,Benfica,Braga,-0.0007288599999999996
