id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2372639717.0,2.0,0.0,0.0,288.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Famalicao,
2372639715.0,2.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Famalicao,
2372668609.0,858.0,0.0,0.0,288.0,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Famalicao,
2372668615.0,911.0,0.0,0.0,935.0,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Famalicao,
2372619291.0,1.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'TeamPlayerFormation', 'PlayerPosition', 'InvolvedPlayers', 'JerseyNumber', 'TeamFormation']",[],False,,,,,,,,,,,,,,,,Braga,Famalicao,
2372619749.0,1.0,0.0,0.0,288.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'InvolvedPlayers', 'TeamFormation', 'PlayerPosition', 'CaptainPlayerId', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Braga,Famalicao,
2372645031.0,129.0,0.0,0.0,935.0,52.605000000000004,34.34000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'StandingSave', 'Zone', 'PassEndX', 'Length']","[91, 119, 117, 30, 36, 37, 216, 218]",True,300483.0,53.445,35.36,,,,,,,,,,,,False,Braga,Famalicao,0.0
2372649015.0,283.0,0.0,1.0,935.0,48.51000000000001,29.308000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Length', 'StandingSave', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,344716.0,36.54,19.788000000000004,,,,,,,,,,,,False,Braga,Famalicao,-0.00215424
2372649041.0,284.0,0.0,4.0,935.0,34.02000000000001,18.360000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'Length', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,422248.0,30.03,33.184,,,,,,,,,,,,False,Braga,Famalicao,0.0002191399999999996
2372639739.0,3.0,0.0,7.0,935.0,32.655,33.25200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'PassEndX', 'StandingSave', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,380619.0,13.020000000000001,33.388000000000005,,,,,,,,,,,,False,Braga,Famalicao,-0.0004965400000000002
