id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2385013031.0,2.0,0.0,0.0,2188.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Sporting,Estoril,
2385013035.0,2.0,0.0,0.0,296.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Sporting,Estoril,
2385062677.0,944.0,0.0,0.0,296.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Sporting,Estoril,
2385062681.0,659.0,0.0,0.0,2188.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Sporting,Estoril,
2384972711.0,1.0,0.0,0.0,296.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'InvolvedPlayers', 'JerseyNumber', 'CaptainPlayerId', 'PlayerPosition', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Sporting,Estoril,
2384974223.0,1.0,0.0,0.0,2188.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'InvolvedPlayers', 'PlayerPosition', 'CaptainPlayerId', 'JerseyNumber', 'TeamFormation']",[],False,,,,,,,,,,,,,,,,Sporting,Estoril,
2385013051.0,3.0,0.0,0.0,2188.0,52.815,34.34000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'StandingSave', 'PassEndX', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,354446.0,26.775000000000002,47.94000000000001,,,,,,,,,,9.0,André Clóvis,False,Sporting,Estoril,-0.004832939999999999
,,0.0,0.0,,26.775000000000002,47.94000000000001,,,Carry,,,,,402736.0,28.98000000000001,45.15200000000001,,,,,,,,,,28.0,Nahuel Ferraresi,False,Sporting,Estoril,0.00109158
2385013073.0,5.0,0.0,3.0,2188.0,28.98000000000001,45.15200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndX', 'Zone', 'Length', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,402736.0,40.53,46.376000000000005,,,,,,,,,,28.0,Nahuel Ferraresi,False,Sporting,Estoril,0.0015871199999999992
2385013105.0,6.0,0.0,5.0,2188.0,40.74,45.96800000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'StandingSave', 'Zone', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,421892.0,26.565,49.84400000000001,,,,,,,,,,32.0,Loreintz Rosier,False,Sporting,Estoril,-0.002678699999999999
,,0.0,5.0,,26.565,49.84400000000001,,,Carry,,,,,402736.0,23.415000000000006,47.6,,,,,,,,,,28.0,Nahuel Ferraresi,False,Sporting,Estoril,0.0
2385013125.0,7.0,0.0,8.0,2188.0,23.415000000000006,47.6,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Length', 'Angle', 'PassEndX', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,402736.0,8.715000000000002,34.88400000000001,,,,,,,,,,28.0,Nahuel Ferraresi,False,Sporting,Estoril,-0.0006024800000000007
,,0.0,8.0,,8.715000000000002,34.88400000000001,,,Carry,,,,,331191.0,8.19,31.688,,,,,,,,,,99.0,Daniel Figueira,False,Sporting,Estoril,0.0
2385013147.0,8.0,0.0,12.0,2188.0,8.19,31.688,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Zone', 'Angle', 'Length']","[91, 117, 30, 36, 38, 215, 218]",True,331191.0,11.55,16.048000000000002,,,,,,,,,,99.0,Daniel Figueira,False,Sporting,Estoril,-0.0006246700000000008
,,0.0,12.0,,11.55,16.048000000000002,,,Carry,,,,,421890.0,13.020000000000001,12.512000000000004,,,,,,,,,,3.0,Bernardo Vital,False,Sporting,Estoril,0.0
