id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2400786019.0,2.0,0.0,935.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Famalicao,Boavista,
2400786027.0,3.0,0.0,122.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Famalicao,Boavista,
2400864291.0,937.0,0.0,935.0,,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Famalicao,Boavista,
2400864313.0,735.0,0.0,122.0,,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Famalicao,Boavista,
2400744341.0,1.0,0.0,122.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'JerseyNumber', 'TeamFormation', 'TeamPlayerFormation', 'InvolvedPlayers', 'CaptainPlayerId']",[],False,0.0,,,,,,,,,,,,,,,Famalicao,Boavista,
2400744475.0,1.0,0.0,935.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'PlayerPosition', 'JerseyNumber', 'TeamPlayerFormation', 'InvolvedPlayers', 'TeamFormation']",[],False,0.0,,,,,,,,,,,,,,,Famalicao,Boavista,
2400786067.0,3.0,0.0,935.0,142352.0,52.71000000000002,30.056000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Angle', 'Length', 'StandingSave']","[91, 117, 30, 35, 38, 216, 218]",True,0.0,48.93000000000002,28.696000000000005,,,,,,,,,,28.0,João Teixeira,False,Famalicao,Boavista,0.0
,,0.0,,344716.0,48.93000000000002,28.696000000000005,,,Carry,,,,,0.0,54.39,24.752000000000002,,,,,,,,,,88.0,Pêpê,False,Famalicao,Boavista,0.0020099799999999998
2400786093.0,4.0,0.0,935.0,344716.0,54.39,24.752000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Zone', 'PassEndX', 'Length', 'PassEndY']","[91, 119, 117, 30, 36, 38, 216, 218]",True,4.0,56.49,5.236000000000001,,,,,,,,,,88.0,Pêpê,False,Famalicao,Boavista,-0.0021200000000000004
2400786107.0,5.0,0.0,935.0,316532.0,56.49,5.236000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Zone', 'Angle', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,6.0,33.18,15.232,,,,,,,,,,6.0,Charles Pickel,False,Famalicao,Boavista,-0.0041410599999999985
2400786131.0,6.0,0.0,935.0,422248.0,33.18,15.232,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'PassEndY', 'Length', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,8.0,10.5,29.512,,,,,,,,,,43.0,Alexandre Penetra,False,Famalicao,Boavista,0.0002323199999999994
2400786177.0,7.0,0.0,935.0,400826.0,10.5,29.648000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'Angle', 'PassEndY', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,11.0,25.935,47.32800000000002,,,,,,,,,,31.0,Luiz Júnior,False,Famalicao,Boavista,-0.0008141799999999994
,,0.0,,400243.0,25.935,47.32800000000002,,,Carry,,,,,11.0,27.405,47.736,,,,,,,,,,19.0,Dylan Batubinsika,False,Famalicao,Boavista,0.00109158
2400786209.0,8.0,0.0,935.0,400243.0,27.405,47.736,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'StandingSave', 'Zone', 'Length', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,14.0,8.295,35.70000000000001,,,,,,,,,,19.0,Dylan Batubinsika,False,Famalicao,Boavista,-0.0016940600000000007
2400786257.0,9.0,0.0,935.0,400826.0,8.295,35.70000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Angle', 'Length', 'PassEndY', 'Longball', 'Zone', 'StandingSave']","[91, 120, 128, 36, 37, 216, 218]",True,17.0,69.19500000000001,38.556,,,,,,,,,,31.0,Luiz Júnior,True,Famalicao,Boavista,0.01056014
2400786263.0,4.0,0.0,122.0,423077.0,33.285000000000004,34.068000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['HeadPass', 'PassEndY', 'Angle', 'PassEndX', 'Zone', 'Length']","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,20.0,42.839999999999996,29.92,,,,,,,,,,,,False,Famalicao,Boavista,0.0013027000000000004
2400786311.0,5.0,0.0,122.0,318429.0,36.75,26.384,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['OppositeRelatedEvent', 'Defensive', 'Zone']",[55],False,21.0,,,,,,,,,,,,,,,Famalicao,Boavista,
2400786305.0,10.0,0.0,935.0,142352.0,68.25,41.61600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['OppositeRelatedEvent', 'Offensive', 'Zone', 'StandingSave']","[91, 54]",True,21.0,,,,,,,,,,,,28.0,João Teixeira,,Famalicao,Boavista,
2400786401.0,11.0,0.0,935.0,142352.0,69.615,45.424,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndX', 'Length', 'Zone', 'PassEndY']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,23.0,70.66500000000002,56.916,,,,,,,,,,28.0,João Teixeira,False,Famalicao,Boavista,0.004663889999999997
,,0.0,,297245.0,70.66500000000002,56.916,,,Carry,,,,,23.0,64.89,59.84,,,,,,,,,,11.0,Bruno Rodrigues,False,Famalicao,Boavista,-0.0065646099999999985
2400786453.0,12.0,0.0,935.0,297245.0,64.89,59.84,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['PassEndY', 'Zone', 'StandingSave', 'PassEndX', 'PlayerCaughtOffside']","[91, 217]",True,31.0,82.84500000000001,40.392,,,,,,,,,,11.0,Bruno Rodrigues,,Famalicao,Boavista,
2400786507.0,6.0,0.0,122.0,135635.0,25.62,42.636,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,31.0,,,,,,,,,,,,,,,Famalicao,Boavista,
2400797453.0,11012.0,0.0,935.0,300483.0,82.84500000000001,40.392,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,,,,,,,,,,,,,17.0,Simon Banza,,Famalicao,Boavista,
2400786733.0,7.0,1.0,122.0,35211.0,18.480000000000008,23.46,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'Angle', 'StandingSave', 'FreekickTaken', 'IndirectFreekickTaken', 'Zone', 'Length', 'PassEndY', 'PassEndX']","[91, 120, 128, 133, 36, 38, 216, 218]",True,0.0,66.88500000000002,18.972,,,,,,,,,,,,True,Famalicao,Boavista,0.009338280000000001
2400786739.0,14.0,1.0,935.0,400243.0,36.96000000000001,49.504000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Defensive', 'OppositeRelatedEvent', 'Zone']","[197, 200]",False,3.0,,,,,,,,,,,,19.0,Dylan Batubinsika,,Famalicao,Boavista,
2400786745.0,8.0,1.0,122.0,404198.0,68.04,18.496,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Zone', 'Offensive', 'OppositeRelatedEvent']","[198, 199]",False,3.0,,,,,,,,,,,,,,,Famalicao,Boavista,
2400786771.0,15.0,1.0,935.0,400243.0,35.805,49.980000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'HeadPass', 'Zone', 'PassEndY', 'Length', 'PassEndX']","[91, 117, 30, 139, 36, 37, 216, 218]",True,3.0,44.415,53.04000000000001,,,,,,,,,,19.0,Dylan Batubinsika,False,Famalicao,Boavista,-0.0005445499999999995
2400786779.0,16.0,1.0,935.0,297245.0,44.415,53.04000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Zone', 'Angle', 'LayOff', 'Length', 'StandingSave', 'PassEndY']","[91, 118, 120, 29, 35, 38, 215, 218]",True,4.0,34.02000000000001,47.056,,,,,,,,,,11.0,Bruno Rodrigues,False,Famalicao,Boavista,-0.00274078
2400786783.0,9.0,1.0,122.0,404198.0,59.535,19.652,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Zone', 'StandingSave']","[91, 101, 56]",True,5.0,,,,,,,,,,,,,,,Famalicao,Boavista,
2400786799.0,11.0,1.0,122.0,404198.0,59.535000000000004,19.652000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndY', 'Length', 'Angle', 'PassEndX']","[91, 119, 117, 30, 35, 37, 216, 218]",True,6.0,56.175000000000004,23.12,,,,,,,,,,,,False,Famalicao,Boavista,0.0
2400786819.0,12.0,1.0,122.0,423602.0,56.175000000000004,23.12,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndY', 'PassEndX', 'Zone', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,7.0,35.385000000000005,12.036,,,,,,,,,,,,False,Famalicao,Boavista,-0.006261059999999999
2400786845.0,13.0,1.0,122.0,400993.0,35.385000000000005,12.036,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Length', 'Zone', 'PassEndX', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,8.0,29.19,26.860000000000007,,,,,,,,,,,,False,Famalicao,Boavista,0.0007288599999999996
2400786881.0,14.0,1.0,122.0,423077.0,29.19,26.860000000000007,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndY', 'PassEndX', 'Zone', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,10.0,38.85,4.964,,,,,,,,,,,,False,Famalicao,Boavista,-6.108999999999976e-05
2400786903.0,17.0,1.0,935.0,297245.0,60.58500000000001,65.41600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[91, 101, 56]",True,13.0,,,,,,,,,,,,11.0,Bruno Rodrigues,,Famalicao,Boavista,
2400786885.0,15.0,1.0,122.0,395938.0,38.955000000000005,4.964,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Zone', 'PassEndX', 'PassEndY', 'Angle', 'Length']","[91, 118, 120, 29, 35, 37, 215, 218]",True,13.0,32.34,6.596000000000003,,,,,,,,,,,,False,Famalicao,Boavista,-0.0014860800000000007
2400787087.0,17.0,1.0,122.0,400993.0,40.11000000000001,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'ThrowIn', 'Length', 'Angle', 'PassEndY', 'Zone']","[91, 212, 35, 37, 216]",True,23.0,35.28,6.0520000000000005,,,,,,,,,,,,False,Famalicao,Boavista,-0.0014860800000000007
