id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2331423815.0,2.0,0.0,0.0,264.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Famalicao,Maritimo,
2331423783.0,3.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Famalicao,Maritimo,
2331600245.0,776.0,0.0,0.0,264.0,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Famalicao,Maritimo,
2331600595.0,894.0,0.0,0.0,935.0,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Famalicao,Maritimo,
2331332255.0,1.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'TeamFormation', 'CaptainPlayerId', 'PlayerPosition', 'TeamPlayerFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,Famalicao,Maritimo,
2331341425.0,1.0,0.0,0.0,264.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'InvolvedPlayers', 'JerseyNumber', 'TeamPlayerFormation', 'PlayerPosition', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,Famalicao,Maritimo,
2331423895.0,4.0,0.0,0.0,935.0,52.5,34.068000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Angle', 'Zone', 'PassEndY', 'PassEndX']","[90, 116, 29, 34, 36, 215, 217]",True,300483.0,52.185,35.02000000000001,,,,,,,,,17.0,Simon Banza,False,Famalicao,Maritimo,0.0
,,0.0,0.0,,52.185,35.02000000000001,,,Carry,,,,,344716.0,49.665,37.33200000000001,,,,,,,,,88.0,Pêpê,False,Famalicao,Maritimo,0.0
2331424053.0,5.0,0.0,1.0,935.0,49.665,37.33200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'StandingSave', 'PassEndX', 'Zone', 'Length']","[90, 118, 116, 29, 35, 37, 215, 217]",True,344716.0,61.74,21.692,,,,,,,,,88.0,Pêpê,False,Famalicao,Maritimo,0.0020099799999999998
,,0.0,1.0,,61.74,21.692,,,Carry,,,,,402892.0,60.06,20.128000000000004,,,,,,,,,10.0,Iván Jaime,False,Famalicao,Maritimo,0.0
2331424059.0,6.0,0.0,3.0,935.0,60.06,20.128000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[90, 69]",True,402892.0,,,,,,,,,,,10.0,Iván Jaime,,Famalicao,Maritimo,
