name,minutes,playerId,team
Fran Navarro,1470,369398.0,Gil-Vicente
Pedrinho,1483,322643.0,Gil-Vicente
João Talocha,1567,322733.0,Gil-Vicente
Rúben Fernandes,1530,135962.0,Gil-Vicente
Lucas Cunha,1530,334129.0,Gil-Vicente
Zé Carlos,1206,404281.0,Gil-Vicente
Vitor Carvalho,1484,331609.0,Gil-Vicente
Bilel Aouacheria,435,345380.0,Gil-Vicente
Samuel Lino,1537,381594.0,Gil-Vicente
Kanya Fujimoto,1305,402797.0,Gil-Vicente
Ziga Frelih,1170,412202.0,Gil-Vicente
Murilo Souza,845,244655.0,Gil-Vicente
Boubacar Hanne,45,402167.0,Gil-Vicente
Élder Santana,55,132844.0,Gil-Vicente
Giorgi Aburjania,205,144360.0,Gil-Vicente
Antoine Leautey,445,328057.0,Gil-Vicente
Emmanuel Hackman,484,298403.0,Gil-Vicente
Matheus Bueno,364,397499.0,Gil-Vicente
Stanislav Kritsyuk,360,124712.0,Gil-Vicente
Marcelo dos Santos,6,422914.0,Gil-Vicente
Jean,11,325216.0,Gil-Vicente
André Liberal,4,422311.0,Gil-Vicente
Diogo Silva,135,410154.0,Gil-Vicente
Juan Calero,9,426998.0,Gil-Vicente
Henrique Gomes,45,383996.0,Gil-Vicente
Brian Araújo,90,408589.0,Gil-Vicente
