id,eventId,minute,second,teamId,x,y,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,expandedMinute,period,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2360394685.0,3.0,0.0,0.0,264.0,0.0,0.0,Start,Successful,[],[],False,,,,,,,,,,,,,,,,,,Maritimo,Pacos de Ferreira,
2360394659.0,2.0,0.0,0.0,786.0,0.0,0.0,Start,Successful,[],[],False,,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",,,,,,,,,,,,,,,Maritimo,Pacos de Ferreira,
2360394677.0,2.0,0.0,0.0,264.0,0.0,0.0,Start,Successful,[],[],False,,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",,,,,,,,,,,,,,,Maritimo,Pacos de Ferreira,
2360489057.0,854.0,0.0,0.0,264.0,0.0,0.0,End,Successful,[],[],False,,7.0,"{'value': 14, 'displayName': 'PostGame'}",,,,,,,,,,,,,,,Maritimo,Pacos de Ferreira,
2360489591.0,834.0,0.0,0.0,786.0,0.0,0.0,End,Successful,[],[],False,,7.0,"{'value': 14, 'displayName': 'PostGame'}",,,,,,,,,,,,,,,Maritimo,Pacos de Ferreira,
2360346023.0,1.0,0.0,0.0,264.0,0.0,0.0,FormationSet,Successful,"['CaptainPlayerId', 'TeamPlayerFormation', 'PlayerPosition', 'InvolvedPlayers', 'TeamFormation', 'JerseyNumber']",[],False,,0.0,"{'value': 16, 'displayName': 'PreMatch'}",,,,,,,,,,,,,,,Maritimo,Pacos de Ferreira,
2360349125.0,1.0,0.0,0.0,786.0,0.0,0.0,FormationSet,Successful,"['PlayerPosition', 'JerseyNumber', 'TeamPlayerFormation', 'InvolvedPlayers', 'TeamFormation', 'CaptainPlayerId']",[],False,,0.0,"{'value': 16, 'displayName': 'PreMatch'}",,,,,,,,,,,,,,,Maritimo,Pacos de Ferreira,
2360394735.0,3.0,0.0,1.0,786.0,52.395,34.0,Pass,Successful,"['Zone', 'Length', 'Angle', 'PassEndX', 'PassEndY']","[90, 116, 29, 34, 36, 214, 217]",True,381795.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",32.550000000000004,44.54000000000001,,,,,,,,,,,,False,Maritimo,Pacos de Ferreira,-0.003741359999999999
2360448007.0,385.0,0.0,2.0,786.0,38.22,37.944,Pass,Successful,"['PassEndX', 'Angle', 'Zone', 'Length', 'PassEndY']","[90, 116, 29, 34, 36, 214, 217]",True,422245.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",33.285000000000004,40.120000000000005,,,,,,,,,,,,False,Maritimo,Pacos de Ferreira,-0.0013027000000000004
2360394803.0,4.0,0.0,4.0,786.0,32.550000000000004,44.54000000000001,Pass,Unsuccessful,"['PassEndX', 'PassEndY', 'Zone', 'Length', 'Angle', 'Longball']","[90, 119, 127, 35, 37, 216, 217]",True,380682.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",72.135,0.0,,,,,,,,,,,,True,Maritimo,Pacos de Ferreira,0.01011667
2360394975.0,5.0,0.0,11.0,264.0,28.875,68.0,Pass,Unsuccessful,"['Zone', 'Angle', 'Longball', 'PassEndX', 'ThrowIn', 'PassEndY', 'Length']","[90, 211, 35, 37, 216]",True,329366.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",71.82000000000001,64.464,,,,,,,,,,94.0,Vitor Costa,True,Maritimo,Pacos de Ferreira,0.0114447
2360395005.0,6.0,0.0,18.0,786.0,23.625,2.788,BallRecovery,Successful,[],[92],False,322859.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",,,,,,,,,,,,,,,Maritimo,Pacos de Ferreira,
2360395103.0,7.0,0.0,19.0,786.0,23.625,2.788,Pass,Successful,"['Zone', 'Length', 'PassEndY', 'PassEndX', 'Angle']","[90, 116, 29, 34, 36, 214, 217]",True,322859.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",9.555,28.288000000000004,,,,,,,,,,,,False,Maritimo,Pacos de Ferreira,0.0009620200000000009
