id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2382315523.0,2.0,0.0,0.0,108.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Famalicao,Moreirense,
2382315527.0,2.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Famalicao,Moreirense,
2382399403.0,705.0,0.0,0.0,108.0,0.0,0.0,4.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Famalicao,Moreirense,
2382400195.0,870.0,0.0,0.0,935.0,0.0,0.0,4.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Famalicao,Moreirense,
2382243307.0,1.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'CaptainPlayerId', 'PlayerPosition', 'JerseyNumber', 'InvolvedPlayers', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Famalicao,Moreirense,
2382246283.0,1.0,0.0,0.0,108.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'TeamPlayerFormation', 'InvolvedPlayers', 'JerseyNumber', 'CaptainPlayerId', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Famalicao,Moreirense,
2382315559.0,3.0,0.0,0.0,108.0,52.71000000000002,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'Angle', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,318686.0,33.39,36.720000000000006,,,,,,,,,,11.0,Yan,False,Famalicao,Moreirense,-0.0035222199999999995
,,0.0,0.0,,33.39,36.720000000000006,,,Carry,,,,,328016.0,32.76,35.22400000000001,,,,,,,,,,4.0,Artur Jorge,False,Famalicao,Moreirense,0.0
2382315597.0,4.0,0.0,2.0,108.0,32.76,35.22400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Chipped', 'Zone', 'PassEndY', 'PassEndX', 'Length', 'Longball', 'Angle']","[91, 120, 124, 128, 36, 38, 216, 218]",True,328016.0,69.3,4.964,,,,,,,,,,4.0,Artur Jorge,True,Famalicao,Moreirense,0.00612684
2382315613.0,3.0,0.0,5.0,935.0,34.65,62.016000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[197, 200]",False,365413.0,,,,,,,,,,,,,,,Famalicao,Moreirense,
2382315603.0,5.0,0.0,5.0,108.0,70.35000000000001,5.984000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Offensive', 'Zone', 'OppositeRelatedEvent']","[198, 199]",False,363792.0,,,,,,,,,,,,9.0,André Luís,,Famalicao,Moreirense,
