id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2374338213.0,2.0,0.0,0.0,786.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Famalicao,Pacos de Ferreira,
2374338207.0,2.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Famalicao,Pacos de Ferreira,
2374371747.0,757.0,0.0,0.0,935.0,0.0,0.0,6.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Famalicao,Pacos de Ferreira,
2374371787.0,890.0,0.0,0.0,786.0,0.0,0.0,6.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Famalicao,Pacos de Ferreira,
2374321299.0,1.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'CaptainPlayerId', 'TeamPlayerFormation', 'JerseyNumber', 'InvolvedPlayers', 'TeamFormation']",[],False,,,,,,,,,,,,,,,Famalicao,Pacos de Ferreira,
2374322023.0,1.0,0.0,0.0,786.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'JerseyNumber', 'CaptainPlayerId', 'PlayerPosition', 'TeamFormation', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,Famalicao,Pacos de Ferreira,
2374338231.0,3.0,0.0,0.0,935.0,52.815,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'PassEndY', 'Angle', 'StandingSave']","[91, 117, 30, 35, 38, 216, 218]",True,367813.0,48.72,31.28,,,,,,,,,,,False,Famalicao,Pacos de Ferreira,0.0
2374338237.0,4.0,0.0,4.0,935.0,48.615,29.648000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'StandingSave', 'PassEndY', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,344716.0,38.64,5.644000000000001,,,,,,,,,,,False,Famalicao,Pacos de Ferreira,-0.0035833099999999993
2374338251.0,5.0,0.0,6.0,935.0,35.805,8.976000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'Length', 'PassEndX', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,422248.0,28.77,31.756000000000004,,,,,,,,,,,False,Famalicao,Pacos de Ferreira,-0.00082343
2374338259.0,6.0,0.0,9.0,935.0,29.925,38.828,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Angle', 'PassEndY', 'Zone', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,365413.0,28.98000000000001,56.16800000000002,,,,,,,,,,,False,Famalicao,Pacos de Ferreira,-0.0007288599999999996
2374338263.0,7.0,0.0,12.0,935.0,28.245,50.32,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'Zone', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,400243.0,32.865,41.07200000000001,,,,,,,,,,,False,Famalicao,Pacos de Ferreira,0.0002191399999999996
