id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2397119481.0,2.0,0.0,108.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Pacos de Ferreira,Moreirense,
2397119465.0,2.0,0.0,786.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Pacos de Ferreira,Moreirense,
2397222177.0,797.0,0.0,108.0,,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Pacos de Ferreira,Moreirense,
2397222191.0,804.0,0.0,786.0,,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Pacos de Ferreira,Moreirense,
2397076033.0,1.0,0.0,108.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'CaptainPlayerId', 'PlayerPosition', 'TeamFormation', 'InvolvedPlayers', 'JerseyNumber']",[],False,0.0,,,,,,,,,,,,,,,Pacos de Ferreira,Moreirense,
2397076901.0,1.0,0.0,786.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'CaptainPlayerId', 'PlayerPosition', 'InvolvedPlayers', 'TeamPlayerFormation', 'TeamFormation']",[],False,0.0,,,,,,,,,,,,,,,Pacos de Ferreira,Moreirense,
2397119541.0,3.0,0.0,786.0,427566.0,52.395,33.864,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'Angle', 'PassEndY', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,0.0,40.74,37.944,,,,,,,,,,17.0,Adrián Butzke,False,Pacos de Ferreira,Moreirense,-0.002219519999999999
,,0.0,,121675.0,40.74,37.944,,,Carry,,,,,0.0,49.14,40.188,,,,,,,,,,22.0,Luiz Carlos,False,Pacos de Ferreira,Moreirense,0.002219519999999999
2397119647.0,4.0,0.0,786.0,121675.0,49.14,40.188,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'PassEndY', 'Length', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,3.0,43.995,61.81200000000001,,,,,,,,,,22.0,Luiz Carlos,False,Pacos de Ferreira,Moreirense,-0.0035833099999999993
,,0.0,,23621.0,43.995,61.81200000000001,,,Carry,,,,,3.0,42.945,63.71600000000001,,,,,,,,,,5.0,Antunes,False,Pacos de Ferreira,Moreirense,0.0
2397119695.0,5.0,0.0,786.0,23621.0,42.945,63.71600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Zone', 'Length', 'StandingSave', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,6.0,35.07,45.22000000000001,,,,,,,,,,5.0,Antunes,False,Pacos de Ferreira,Moreirense,-0.00015804999999999986
2397119741.0,6.0,0.0,786.0,322640.0,35.07,44.88,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Zone', 'Angle', 'PassEndY', 'Length']","[91, 117, 30, 36, 38, 216, 218]",True,9.0,40.215,32.912,,,,,,,,,,2.0,Marco Baixinho,False,Pacos de Ferreira,Moreirense,0.00152184
2397119773.0,7.0,0.0,786.0,384889.0,40.425,32.912,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Length', 'PassEndY', 'Angle', 'StandingSave']","[91, 117, 30, 35, 37, 216, 218]",True,11.0,38.43,49.16400000000001,,,,,,,,,,77.0,Nuno Santos,False,Pacos de Ferreira,Moreirense,6.527999999999916e-05
,,0.0,,322640.0,38.43,49.16400000000001,,,Carry,,,,,11.0,37.59,50.864000000000004,,,,,,,,,,2.0,Marco Baixinho,False,Pacos de Ferreira,Moreirense,0.0
2397119847.0,8.0,0.0,786.0,322640.0,37.59,50.864000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'StandingSave', 'Angle', 'Zone', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,13.0,46.725,66.98,,,,,,,,,,2.0,Marco Baixinho,False,Pacos de Ferreira,Moreirense,-0.0002082999999999998
2397119859.0,9.0,0.0,786.0,23621.0,47.25,66.16400000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Chipped', 'PassEndY', 'PassEndX', 'Angle', 'Length', 'StandingSave']","[91, 120, 29, 124, 36, 38, 216, 218]",True,16.0,62.265,66.028,,,,,,,,,,5.0,Antunes,False,Pacos de Ferreira,Moreirense,0.00496716
2397119917.0,3.0,0.0,108.0,122089.0,46.83000000000001,2.788,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndY', 'Zone', 'HeadPass', 'PassEndX', 'Length', 'StandingSave']","[91, 120, 29, 139, 36, 37, 217, 218]",True,16.0,73.185,15.436,,,,,,,,,,,,True,Pacos de Ferreira,Moreirense,0.011531769999999998
2397120011.0,10.0,0.0,786.0,322640.0,33.81,42.5,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Length', 'PassEndX', 'Zone', 'StandingSave', 'Longball']","[91, 117, 127, 36, 38, 215, 218]",True,21.0,34.65,6.256000000000002,,,,,,,,,,2.0,Marco Baixinho,False,Pacos de Ferreira,Moreirense,-0.0015471700000000005
,,0.0,,110341.0,34.65,6.256000000000002,,,Carry,,,,,21.0,40.425,2.2440000000000007,,,,,,,,,,15.0,Juan Delgado,False,Pacos de Ferreira,Moreirense,0.0014860800000000007
2397120111.0,11.0,0.0,786.0,110341.0,40.425,2.2440000000000007,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Longball', 'Angle', 'Length', 'PassEndY', 'Zone', 'Chipped', 'StandingSave']","[91, 120, 124, 128, 36, 37, 217, 218]",True,25.0,97.44,9.384,,,,,,,,,,15.0,Juan Delgado,True,Pacos de Ferreira,Moreirense,0.035214539999999996
2397120113.0,4.0,0.0,108.0,322792.0,8.4,55.760000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,28.0,,,,,,,,,,,,,,,Pacos de Ferreira,Moreirense,
2397120153.0,5.0,0.0,108.0,322792.0,7.875,55.624,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndY', 'Zone', 'Length', 'PassEndX', 'StandingSave', 'Angle']","[91, 94, 95, 215]",True,30.0,9.135,68.0,,,,,,,,,,,,,Pacos de Ferreira,Moreirense,
2397120289.0,13.0,0.0,786.0,343089.0,93.66000000000001,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'PassEndY', 'ThrowIn', 'Angle']","[91, 212, 35, 37, 217]",True,36.0,81.48,2.3120000000000003,,,,,,,,,,7.0,Hélder Ferreira,False,Pacos de Ferreira,Moreirense,-0.007287600000000002
,,0.0,,384889.0,81.48,2.3120000000000003,,,Carry,,,,,36.0,74.76,2.788,,,,,,,,,,77.0,Nuno Santos,False,Pacos de Ferreira,Moreirense,-0.00634183
2397120311.0,14.0,0.0,786.0,384889.0,74.76,2.788,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'Angle', 'StandingSave', 'PassEndX']","[91, 119, 117, 30, 35, 38, 216, 218]",True,39.0,66.25500000000001,2.5840000000000005,,,,,,,,,,77.0,Nuno Santos,False,Pacos de Ferreira,Moreirense,-0.00377069
2397120359.0,15.0,0.0,786.0,343089.0,65.41500000000002,2.5840000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'Length', 'Zone', 'PassEndY']","[91, 119, 117, 30, 35, 37, 216, 218]",True,41.0,54.39,6.188000000000002,,,,,,,,,,7.0,Hélder Ferreira,False,Pacos de Ferreira,Moreirense,-0.002714640000000001
,,0.0,,423078.0,54.39,6.188000000000002,,,Carry,,,,,41.0,45.255,12.512000000000004,,,,,,,,,,3.0,Nuno Lima,False,Pacos de Ferreira,Moreirense,-0.0008905599999999986
2397120415.0,16.0,0.0,786.0,423078.0,45.255,12.512000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'PassEndX', 'PassEndY', 'Zone']","[91, 117, 30, 35, 37, 216, 218]",True,44.0,45.15,39.508,,,,,,,,,,3.0,Nuno Lima,False,Pacos de Ferreira,Moreirense,0.0010005799999999992
,,0.0,,322640.0,45.15,39.508,,,Carry,,,,,44.0,46.2,45.492,,,,,,,,,,2.0,Marco Baixinho,False,Pacos de Ferreira,Moreirense,-0.0005547
2397120495.0,17.0,0.0,786.0,322640.0,46.2,45.492,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'PassEndX', 'Zone', 'StandingSave', 'Length']","[91, 119, 117, 30, 36, 37, 216, 218]",True,47.0,58.589999999999996,65.89200000000001,,,,,,,,,,2.0,Marco Baixinho,False,Pacos de Ferreira,Moreirense,0.0004446799999999994
,,0.0,,23621.0,58.589999999999996,65.89200000000001,,,Carry,,,,,47.0,60.27,66.84400000000001,,,,,,,,,,5.0,Antunes,False,Pacos de Ferreira,Moreirense,0.0
2397120555.0,18.0,0.0,786.0,23621.0,60.27,66.84400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX', 'Chipped', 'Length']","[91, 119, 117, 30, 124, 205, 36, 38, 217, 218]",True,51.0,70.14,65.552,,,,,,,,,,5.0,Antunes,False,Pacos de Ferreira,Moreirense,0.002714640000000001
2397120643.0,19.0,0.0,786.0,70735.0,70.35000000000001,66.028,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['StandingSave', 'PlayerCaughtOffside', 'Zone', 'PassEndY', 'PassEndX']","[91, 217]",True,53.0,90.09,50.93200000000001,,,,,,,,,,28.0,Nicolás Gaitán,,Pacos de Ferreira,Moreirense,
2397120587.0,7.0,0.0,108.0,322792.0,28.455,17.272000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,53.0,,,,,,,,,,,,,,,Pacos de Ferreira,Moreirense,
2397131643.0,11019.0,0.0,786.0,427566.0,90.09,50.93200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,,,,,,,,,,,,,17.0,Adrián Butzke,,Pacos de Ferreira,Moreirense,
