id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2390256841.0,2.0,0.0,0.0,299.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Portimonense,Benfica,
2390256849.0,2.0,0.0,0.0,1463.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Portimonense,Benfica,
2390344653.0,913.0,0.0,0.0,299.0,0.0,0.0,22.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Portimonense,Benfica,
2390344675.0,805.0,0.0,0.0,1463.0,0.0,0.0,22.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Portimonense,Benfica,
2390219423.0,1.0,0.0,0.0,1463.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'PlayerPosition', 'CaptainPlayerId', 'InvolvedPlayers', 'TeamPlayerFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Portimonense,Benfica,
2390220259.0,1.0,0.0,0.0,299.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'JerseyNumber', 'PlayerPosition', 'CaptainPlayerId', 'TeamPlayerFormation', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,Portimonense,Benfica,
2390256913.0,3.0,0.0,0.0,299.0,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Zone', 'Length', 'PassEndX', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,24642.0,33.915,38.148,,,,,,,,,,,,False,Portimonense,Benfica,-0.0035222199999999995
2390256951.0,4.0,0.0,2.0,299.0,34.86000000000001,39.712,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Chipped', 'Longball', 'PassEndX', 'PassEndY', 'Zone', 'Angle', 'StandingSave']","[91, 120, 124, 128, 36, 38, 217, 218]",True,21778.0,74.55,23.392,,,,,,,,,,,,True,Portimonense,Benfica,0.012798639999999998
2390256985.0,3.0,0.0,5.0,1463.0,35.910000000000004,43.248000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,116103.0,,,,,,,,,,,,76.0,Carlinhos,,Portimonense,Benfica,
2390257035.0,4.0,0.0,7.0,1463.0,35.910000000000004,43.248000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndY', 'PassEndX', 'Length', 'Zone', 'StandingSave']","[91, 118, 120, 29, 35, 38, 216, 218]",True,116103.0,35.28,25.228,,,,,,,,,,76.0,Carlinhos,False,Portimonense,Benfica,-0.0015871199999999992
2390257015.0,5.0,0.0,8.0,299.0,67.62,41.412,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,146760.0,,,,,,,,,,,,,,,Portimonense,Benfica,
2390257081.0,6.0,0.0,9.0,299.0,63.73500000000001,46.104,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,395802.0,,,,,,,,,,,,,,,Portimonense,Benfica,
2390257093.0,7.0,0.0,10.0,299.0,63.735000000000014,46.104,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Angle', 'Zone', 'Length', 'PassEndX']","[91, 119, 117, 30, 35, 37, 216, 218]",True,395802.0,56.49,57.18800000000001,,,,,,,,,,,,False,Portimonense,Benfica,-0.0032331900000000004
2390257117.0,8.0,0.0,13.0,299.0,56.49,57.18800000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Angle', 'StandingSave', 'PassEndY', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,107252.0,40.005,44.812000000000005,,,,,,,,,,,,False,Portimonense,Benfica,-0.0034263900000000014
2390257161.0,9.0,0.0,15.0,299.0,39.795,43.996,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'StandingSave', 'Angle', 'PassEndY']","[91, 117, 30, 36, 38, 216, 218]",True,21778.0,40.005,17.408,,,,,,,,,,,,False,Portimonense,Benfica,0.0
2390257211.0,10.0,0.0,18.0,299.0,42.42,12.172000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'StandingSave', 'Zone', 'Angle', 'PassEndY']","[91, 117, 30, 36, 38, 216, 218]",True,75691.0,50.085000000000015,5.78,,,,,,,,,,,,False,Portimonense,Benfica,0.00033624999999999974
2390257273.0,11.0,0.0,21.0,299.0,49.875,8.568,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'StandingSave', 'Angle', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,119542.0,46.62,30.532,,,,,,,,,,,,False,Portimonense,Benfica,0.0010005799999999992
2390257369.0,12.0,0.0,23.0,299.0,48.089999999999996,35.63200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'PassEndY', 'Zone', 'Angle', 'StandingSave']","[91, 119, 117, 30, 36, 37, 216, 218]",True,142318.0,57.435,62.424,,,,,,,,,,,,False,Portimonense,Benfica,-0.0001100200000000006
2390257409.0,13.0,0.0,27.0,299.0,58.800000000000004,57.18800000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'PassEndX', 'PassEndY', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,107252.0,45.360000000000014,49.50400000000001,,,,,,,,,,,,False,Portimonense,Benfica,-0.0018268500000000014
2390257461.0,14.0,0.0,32.0,299.0,45.675000000000004,50.592000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'StandingSave', 'PassEndY', 'Zone', 'Angle']","[91, 119, 117, 30, 36, 37, 216, 218]",True,21778.0,62.160000000000004,64.53200000000001,,,,,,,,,,,,False,Portimonense,Benfica,0.00315932
2390257477.0,15.0,0.0,35.0,299.0,63.735000000000014,64.19200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Length', 'Angle', 'PassEndY', 'StandingSave', 'Zone']","[91, 120, 29, 36, 38, 217, 218]",True,146760.0,78.96000000000001,61.608000000000004,,,,,,,,,,,,True,Portimonense,Benfica,0.00377069
2390257499.0,5.0,0.0,36.0,1463.0,21.945,6.664000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,['Zone'],"[91, 101, 56]",True,308886.0,,,,,,,,,,,,18.0,Fahd Moufi,,Portimonense,Benfica,
2390257523.0,6.0,0.0,38.0,1463.0,22.995,7.208,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,308886.0,,,,,,,,,,,,18.0,Fahd Moufi,,Portimonense,Benfica,
2390257557.0,7.0,0.0,38.0,1463.0,22.995,7.208000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'PassEndX', 'Length', 'StandingSave', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,308886.0,12.285,12.036,,,,,,,,,,18.0,Fahd Moufi,False,Portimonense,Benfica,0.00033735000000000015
,,0.0,38.0,,12.285,12.036,,,Carry,,,,,342696.0,16.065000000000005,8.5,,,,,,,,,,3.0,Lucas Possignolo,False,Portimonense,Benfica,-0.0009897299999999994
