id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2385412895.0,2.0,0.0,0.0,1463.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Santa Clara,Portimonense,
2385412901.0,2.0,0.0,0.0,251.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Santa Clara,Portimonense,
2385444897.0,823.0,0.0,0.0,251.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Santa Clara,Portimonense,
2385444901.0,871.0,0.0,0.0,1463.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Santa Clara,Portimonense,
2385394729.0,1.0,0.0,0.0,1463.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'PlayerPosition', 'JerseyNumber', 'InvolvedPlayers', 'CaptainPlayerId', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Santa Clara,Portimonense,
2385394751.0,1.0,0.0,0.0,251.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'PlayerPosition', 'TeamPlayerFormation', 'InvolvedPlayers', 'TeamFormation', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,Santa Clara,Portimonense,
2385412921.0,3.0,0.0,0.0,1463.0,52.605000000000004,34.136,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'Zone', 'PassEndY', 'StandingSave']","[91, 117, 30, 35, 37, 216, 218]",True,432109.0,43.155,40.052,,,,,,,,,,17.0,Ricardo Matos,False,Santa Clara,Portimonense,-0.002219519999999999
2385412931.0,4.0,0.0,1.0,1463.0,42.839999999999996,40.46,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndX', 'PassEndY', 'Length', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,317741.0,31.080000000000002,20.264000000000003,,,,,,,,,,8.0,Lucas Fernandes,False,Santa Clara,Portimonense,-0.00152184
,,0.0,1.0,,31.080000000000002,20.264000000000003,,,Carry,,,,,360107.0,31.185000000000002,16.456,,,,,,,,,,44.0,Pedrão,False,Santa Clara,Portimonense,-0.00050972
2385412957.0,5.0,0.0,5.0,1463.0,31.185000000000002,16.456,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Angle', 'PassEndX', 'Chipped', 'Zone', 'Length', 'Longball', 'PassEndY']","[91, 120, 124, 128, 36, 38, 217, 218]",True,360107.0,76.54500000000003,6.324000000000001,,,,,,,,,,44.0,Pedrão,True,Santa Clara,Portimonense,0.01062639
2385412997.0,3.0,0.0,7.0,251.0,29.19,58.00400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'HeadPass', 'Angle', 'Zone', 'PassEndY', 'PassEndX']","[91, 117, 30, 139, 36, 37, 216, 218]",True,130450.0,36.855,65.48400000000001,,,,,,,,,,,,False,Santa Clara,Portimonense,0.0006677699999999998
