id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2378307541.0,32.0,0.0,122.0,295756.0,60.27,14.28,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Defensive', 'OppositeRelatedEvent', 'Zone']",[55],False,0.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2378307555.0,58.0,0.0,251.0,279478.0,44.73,53.720000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['StandingSave', 'Zone', 'Offensive', 'OppositeRelatedEvent']","[91, 54]",True,0.0,,,,,,,,,,,,10.0,Lincoln,,Santa Clara,Boavista,
2378310741.0,72.0,0.0,122.0,423077.0,46.095,26.792,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Zone', 'HeadPass', 'PlayerCaughtOffside']","[91, 217]",True,0.0,72.97500000000001,23.868,,,,,,,,,,,,,Santa Clara,Boavista,
2378310751.0,107.0,0.0,251.0,318502.0,32.13,41.072,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,0.0,,,,,,,,,,,,3.0,Mikel Villanueva,,Santa Clara,Boavista,
2378301493.0,2.0,0.0,122.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2378301475.0,2.0,0.0,251.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2378359063.0,845.0,0.0,251.0,,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2378359069.0,758.0,0.0,122.0,,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2378273855.0,1.0,0.0,251.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'PlayerPosition', 'InvolvedPlayers', 'TeamPlayerFormation', 'JerseyNumber', 'TeamFormation']",[],False,0.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2378274311.0,1.0,0.0,122.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'CaptainPlayerId', 'TeamPlayerFormation', 'JerseyNumber', 'PlayerPosition', 'TeamFormation']",[],False,0.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
