name,minutes,playerId,team
Jean Patric,562,401125.0,Santa-Clara
Lincoln,1540,279478.0,Santa-Clara
Hidemasa Morita,1334,409279.0,Santa-Clara
Anderson Carvalho,996,101748.0,Santa-Clara
Pierre Sagna,458,92825.0,Santa-Clara
Allano,650,281935.0,Santa-Clara
João Afonso,938,234374.0,Santa-Clara
Cristian Tassano,540,274646.0,Santa-Clara
Ricardinho,896,416884.0,Santa-Clara
Ricardinho,896,422200.0,Santa-Clara
Mansur,1317,130450.0,Santa-Clara
Marco Pereira,1395,361916.0,Santa-Clara
Ricardo Fernandes,225,344541.0,Santa-Clara
Luiz Phellype,276,142320.0,Santa-Clara
Rui Costa,1168,351562.0,Santa-Clara
Mohammad Mohebbi,87,425086.0,Santa-Clara
Nené,547,380616.0,Santa-Clara
Kennedy Boateng,777,422199.0,Santa-Clara
Mikel Villanueva,1035,318502.0,Santa-Clara
Crysan,790,279531.0,Santa-Clara
Paulo Henrique,518,143035.0,Santa-Clara
Hamidou Keyta,72,300225.0,Santa-Clara
Mohamed Bouldini,149,422201.0,Santa-Clara
Rafael Ramos,1103,271550.0,Santa-Clara
Júlio Romao,185,401178.0,Santa-Clara
Costinha,82,322764.0,Santa-Clara
Carlos Junior,180,134924.0,Santa-Clara
