name,minutes,playerId,team
Guilherme Schettine,984,328509.0,Vizela
Marcos Paulo,1419,365414.0,Vizela
Marcos Paulo,1419,66224.0,Vizela
Koffi Kouao,1391,342610.0,Vizela
Bruno Wilson,1077,331637.0,Vizela
Mohamed Aidara,810,425474.0,Vizela
Charles,1260,280347.0,Vizela
Kévin Zohi,567,344143.0,Vizela
Samu,1400,322742.0,Vizela
Hugues Zagbayou,386,426916.0,Vizela
Richard Ofori,661,124107.0,Vizela
Kiko Bondoso,1297,421843.0,Vizela
Raphael Guzzo,429,143050.0,Vizela
Kiki,1297,129360.0,Vizela
Cassiano,593,119543.0,Vizela
Nuno Moreira,935,421851.0,Vizela
Alex Méndez,745,421844.0,Vizela
Ivanildo Fernandes,828,362492.0,Vizela
Tomás Silva,27,416045.0,Vizela
Claudemir,821,36137.0,Vizela
Francis Cann,205,421845.0,Vizela
Pedro Silva,360,361808.0,Vizela
Alejandro Alvarado Jr.,5,426917.0,Vizela
Hugo Oliveira,5,421850.0,Vizela
Igor Julião,228,118380.0,Vizela
Anderson,90,416912.0,Vizela
Ivo Gonçalves,90,421849.0,Vizela
