id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2554996169.0,2.0,0.0,0.0,122,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Boavista,
2554996179.0,2.0,0.0,0.0,2008,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Boavista,
2555102153.0,777.0,0.0,0.0,122,0.0,0.0,1.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Boavista,
2555102167.0,615.0,0.0,0.0,2008,0.0,0.0,1.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Boavista,
2554930809.0,1.0,0.0,0.0,122,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'JerseyNumber', 'InvolvedPlayers', 'PlayerPosition', 'TeamPlayerFormation', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,Chaves,Boavista,
2554930827.0,1.0,0.0,0.0,2008,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'CaptainPlayerId', 'PlayerPosition', 'InvolvedPlayers', 'TeamFormation', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Chaves,Boavista,
2554996191.0,3.0,0.0,0.0,122,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Zone', 'PassEndY', 'StandingSave', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,318429.0,36.225,26.860000000000003,,,,,,,,,,24.0,Sebastián Pérez,False,Chaves,Boavista,-0.004268819999999998
2554996227.0,4.0,0.0,2.0,122,37.17,26.860000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'StandingSave', 'Longball', 'Chipped', 'Length', 'Angle', 'PassEndX']","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",True,333946.0,75.81,45.900000000000006,,,,,,,,,,2.0,Reggie Cannon,True,Chaves,Boavista,0.011495940000000001
2554996253.0,5.0,0.0,4.0,122,75.915,46.308,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'HeadPass', 'Zone', 'Length', 'PassEndX']","[91, 119, 117, 30, 139, 35, 37, 216, 218]",True,376967.0,68.25,58.684000000000005,,,,,,,,,,9.0,Róbert Bozeník,False,Chaves,Boavista,-0.005418930000000002
2554996285.0,6.0,0.0,7.0,122,67.83,60.044000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Length', 'Zone', 'Angle', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,423076.0,46.2,57.800000000000004,,,,,,,,,,42.0,Gaïus Makouta,False,Chaves,Boavista,-0.003605199999999996
2554996309.0,7.0,0.0,9.0,122,46.2,57.800000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'StandingSave', 'Length', 'PassEndX', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,454408.0,37.695,46.51200000000001,,,,,,,,,,70.0,Sopuruchukwu Onyemaechi,False,Chaves,Boavista,-0.0011536600000000008
,,0.0,9.0,122,37.695,46.51200000000001,,,Carry,,,,,120590.0,35.910000000000004,45.900000000000006,,,,,,,,,,23.0,Vincent Sasso,False,Chaves,Boavista,0.0
2554996327.0,8.0,0.0,11.0,122,35.910000000000004,45.900000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Angle', 'Zone', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,120590.0,34.545,29.852,,,,,,,,,,23.0,Vincent Sasso,False,Chaves,Boavista,-0.0013679799999999995
,,0.0,11.0,122,34.545,29.852,,,Carry,,,,,333946.0,35.175000000000004,27.880000000000003,,,,,,,,,,2.0,Reggie Cannon,False,Chaves,Boavista,0.0
2554996363.0,9.0,0.0,13.0,122,35.175000000000004,27.880000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndY', 'Angle', 'PassEndX', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,333946.0,36.75,56.37200000000001,,,,,,,,,,2.0,Reggie Cannon,False,Chaves,Boavista,-0.0004792700000000004
,,0.0,13.0,122,36.75,56.37200000000001,,,Carry,,,,,454408.0,39.06,56.644000000000005,,,,,,,,,,70.0,Sopuruchukwu Onyemaechi,False,Chaves,Boavista,0.0
2554996399.0,10.0,0.0,16.0,122,39.06,56.644000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Zone', 'Angle', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,454408.0,59.64,51.884,,,,,,,,,,70.0,Sopuruchukwu Onyemaechi,True,Chaves,Boavista,0.003970940000000001
,,0.0,16.0,122,59.64,51.884,,,Carry,,,,,376967.0,57.645,48.416000000000004,,,,,,,,,,9.0,Róbert Bozeník,False,Chaves,Boavista,0.0007378299999999983
2554996429.0,11.0,0.0,18.0,122,57.645,48.416000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'Length', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,376967.0,45.045,53.992000000000004,,,,,,,,,,9.0,Róbert Bozeník,False,Chaves,Boavista,-0.003010559999999999
2554996475.0,12.0,0.0,20.0,122,44.205000000000005,52.904,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Length', 'Angle', 'PassEndX', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,454408.0,36.855000000000004,27.472,,,,,,,,,,70.0,Sopuruchukwu Onyemaechi,False,Chaves,Boavista,-0.00121894
,,0.0,20.0,122,36.855000000000004,27.472,,,Carry,,,,,333946.0,39.27,25.636000000000003,,,,,,,,,,2.0,Reggie Cannon,False,Chaves,Boavista,0.0
2554996507.0,13.0,0.0,26.0,122,39.27,25.636000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Angle', 'Zone', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,333946.0,38.115,44.948,,,,,,,,,,2.0,Reggie Cannon,False,Chaves,Boavista,6.527999999999916e-05
,,0.0,26.0,122,38.115,44.948,,,Carry,,,,,120590.0,41.79,44.744,,,,,,,,,,23.0,Vincent Sasso,False,Chaves,Boavista,0.0
2554996557.0,14.0,0.0,29.0,122,41.79,44.744,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'StandingSave', 'Length', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,120590.0,60.27,65.48400000000001,,,,,,,,,,23.0,Vincent Sasso,False,Chaves,Boavista,0.0020442199999999994
,,0.0,29.0,122,60.27,65.48400000000001,,,Carry,,,,,423076.0,49.665,51.68000000000001,,,,,,,,,,42.0,Gaïus Makouta,False,Chaves,Boavista,-0.0008905599999999986
2554996597.0,15.0,0.0,35.0,122,49.665,51.68000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'Angle', 'StandingSave', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,423076.0,37.17,25.976000000000003,,,,,,,,,,42.0,Gaïus Makouta,False,Chaves,Boavista,-0.00121894
,,0.0,35.0,122,37.17,25.976000000000003,,,Carry,,,,,333946.0,37.38,22.712,,,,,,,,,,2.0,Reggie Cannon,False,Chaves,Boavista,6.527999999999916e-05
2554996633.0,16.0,0.0,39.0,122,37.38,22.712,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'Angle', 'StandingSave', 'PassEndX', 'PassEndY']","[91, 119, 117, 30, 36, 38, 216, 218]",True,333946.0,55.545,2.5160000000000005,,,,,,,,,,2.0,Reggie Cannon,False,Chaves,Boavista,0.0020442199999999994
2554996665.0,17.0,0.0,43.0,122,55.545,2.5160000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Length', 'PassEndX', 'Angle', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,91775.0,36.96000000000001,9.996,,,,,,,,,,21.0,Salvador Agra,False,Chaves,Boavista,-0.002588769999999999
,,0.0,43.0,122,36.96000000000001,9.996,,,Carry,,,,,333946.0,35.175000000000004,6.664000000000001,,,,,,,,,,2.0,Reggie Cannon,False,Chaves,Boavista,-0.0023706000000000005
2554996707.0,18.0,0.0,46.0,122,35.175000000000004,6.664000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndY', 'Zone', 'Length', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,333946.0,10.605,21.012,,,,,,,,,,2.0,Reggie Cannon,False,Chaves,Boavista,-0.0014852200000000006
2554996731.0,19.0,0.0,49.0,122,10.709999999999999,20.672,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone', 'Length']","[91, 117, 30, 36, 38, 215, 218]",True,380734.0,20.580000000000002,3.808,,,,,,,,,,99.0,João Gonçalves,False,Chaves,Boavista,-0.0013289100000000009
2554996767.0,20.0,0.0,51.0,122,21.21,3.944,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'StandingSave', 'Length', 'PassEndX', 'Angle', 'PassEndY', 'Chipped']","[91, 118, 120, 29, 124, 36, 37, 216, 218]",True,333946.0,48.300000000000004,17.952,,,,,,,,,,2.0,Reggie Cannon,True,Chaves,Boavista,
2554996891.0,4.0,0.0,53.0,2008,49.77,54.808,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,390741.0,,,,,,,,,,,,,,,Chaves,Boavista,
2554996811.0,3.0,0.0,53.0,2008,57.12,52.7,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,390741.0,,,,,,,,,,,,,,,Chaves,Boavista,
2554996907.0,25.0,0.0,54.0,122,40.425000000000004,26.588000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,370018.0,,,,,,,,,,,,6.0,Ibrahima Camará,,Chaves,Boavista,
,,0.0,54.0,122,40.425000000000004,26.588000000000005,,,Carry,,,,,370018.0,44.52,21.42,,,,,,,,,,6.0,Ibrahima Camará,False,Chaves,Boavista,0.0016648199999999991
2554996821.0,21.0,0.0,56.0,122,44.52,21.42,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Zone', 'Length', 'PassEndY', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,370018.0,48.195,35.292,,,,,,,,,,6.0,Ibrahima Camará,False,Chaves,Boavista,0.0005547
2554996871.0,22.0,0.0,57.0,122,48.195,35.292,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'StandingSave', 'Length', 'Zone']","[91, 117, 30, 35, 37, 216, 218]",True,423076.0,40.214999999999996,48.348,,,,,,,,,,42.0,Gaïus Makouta,False,Chaves,Boavista,-0.00215424
,,0.0,57.0,122,40.214999999999996,48.348,,,Carry,,,,,454408.0,43.995,48.21200000000001,,,,,,,,,,70.0,Sopuruchukwu Onyemaechi,False,Chaves,Boavista,0.0
2554996877.0,23.0,1.0,3.0,122,43.995,48.21200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'StandingSave', 'Zone', 'PassEndY', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,454408.0,28.245,43.316,,,,,,,,,,70.0,Sopuruchukwu Onyemaechi,False,Chaves,Boavista,-0.003186659999999999
2554996903.0,24.0,1.0,5.0,122,28.245,43.316,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndY', 'StandingSave', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,120590.0,9.555,35.292,,,,,,,,,,23.0,Vincent Sasso,False,Chaves,Boavista,-0.0016940600000000007
2554996973.0,26.0,1.0,7.0,122,10.5,34.68,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'StandingSave', 'Zone', 'Length', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,380734.0,20.895,20.196,,,,,,,,,,99.0,João Gonçalves,False,Chaves,Boavista,-0.0008141799999999994
2554996999.0,27.0,1.0,10.0,122,20.895,20.196,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'StandingSave', 'PassEndX', 'Angle', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,333946.0,4.095,35.496,,,,,,,,,,2.0,Reggie Cannon,False,Chaves,Boavista,-0.0006024800000000007
2554997063.0,28.0,1.0,14.0,122,4.095,35.496,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Length', 'Angle', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,380734.0,26.040000000000003,40.732,,,,,,,,,,99.0,João Gonçalves,False,Chaves,Boavista,0.0007549299999999991
,,1.0,14.0,122,26.040000000000003,40.732,,,Carry,,,,,454408.0,30.555000000000003,41.548,,,,,,,,,,70.0,Sopuruchukwu Onyemaechi,False,Chaves,Boavista,0.0011582700000000012
2554997109.0,29.0,1.0,19.0,122,30.555000000000003,41.548,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Angle', 'Length', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,454408.0,46.410000000000004,48.55200000000001,,,,,,,,,,70.0,Sopuruchukwu Onyemaechi,False,Chaves,Boavista,0.0029675199999999995
,,1.0,19.0,122,46.410000000000004,48.55200000000001,,,Carry,,,,,389108.0,46.095,51.408,,,,,,,,,,19.0,Ricardo Mangas,False,Chaves,Boavista,-0.0004458799999999992
2554997113.0,30.0,1.0,21.0,122,46.095,51.408,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndX', 'Zone', 'Angle', 'PassEndY', 'Offensive', 'OppositeRelatedEvent', 'StandingSave']","[91, 118, 120, 29, 36, 37, 216, 218]",True,389108.0,47.775,52.7,,,,,,,,,,19.0,Ricardo Mangas,False,Chaves,Boavista,
2554997117.0,5.0,1.0,21.0,2008,59.64,12.376000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['StandingSave', 'Zone', 'Defensive', 'OppositeRelatedEvent']","[91, 60]",True,438899.0,,,,,,,,,,,,,,,Chaves,Boavista,
2554997129.0,6.0,1.0,22.0,2008,61.425000000000004,5.78,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,438899.0,,,,,,,,,,,,,,,Chaves,Boavista,
2554997199.0,7.0,1.0,24.0,2008,61.32,5.032000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'StandingSave', 'PassEndY', 'Zone', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,438899.0,43.68000000000001,4.148,,,,,,,,,,,,False,Chaves,Boavista,-0.006187929999999996
2554997253.0,8.0,1.0,27.0,2008,36.330000000000005,15.232,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'PassEndX', 'Zone', 'Length', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,323355.0,14.700000000000001,31.892000000000003,,,,,,,,,,,,False,Chaves,Boavista,-0.0013199700000000002
2554997327.0,9.0,1.0,30.0,2008,14.700000000000001,31.892000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'PassEndX', 'Length', 'Zone', 'Angle']","[91, 117, 30, 36, 37, 215, 218]",True,363078.0,24.675,44.336000000000006,,,,,,,,,,,,False,Chaves,Boavista,-0.0008141799999999994
2554997431.0,10.0,1.0,35.0,2008,25.200000000000003,44.744,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Zone', 'Angle', 'PassEndX', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,121484.0,40.635000000000005,65.688,,,,,,,,,,,,False,Chaves,Boavista,0.0012496299999999998
2554997437.0,11.0,1.0,39.0,2008,39.9,65.824,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,390741.0,,,,,,,,,,,,,,,Chaves,Boavista,
2554997443.0,31.0,1.0,41.0,122,71.08500000000001,3.74,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,91775.0,,,,,,,,,,,,21.0,Salvador Agra,,Chaves,Boavista,
,,1.0,41.0,122,71.08500000000001,3.74,,,Carry,,,,,91775.0,90.72000000000001,12.172,,,,,,,,,,21.0,Salvador Agra,True,Chaves,Boavista,0.019448629999999998
2554997509.0,32.0,1.0,44.0,122,90.72000000000001,12.172,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Cross', 'PassEndY', 'Chipped', 'RightFoot', 'StandingSave', 'Length', 'IntentionalAssist', 'Angle', 'ShotAssist', 'PassEndX', 'KeyPass']","[91, 119, 123, 137, 124, 125, 40, 41, 36, 37, 217, 218]",True,91775.0,96.39,38.89600000000001,,,,,,,,,,21.0,Salvador Agra,True,Chaves,Boavista,0.2167837
