id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2454970717.0,2.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Vitoria de Guimaraes,
2454970749.0,2.0,0.0,0.0,107,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Vitoria de Guimaraes,
2455158301.0,658.0,0.0,0.0,107,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Vitoria de Guimaraes,
2455158337.0,854.0,0.0,0.0,288,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Vitoria de Guimaraes,
2454882099.0,1.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'PlayerPosition', 'CaptainPlayerId', 'InvolvedPlayers', 'TeamPlayerFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Braga,Vitoria de Guimaraes,
2454886021.0,1.0,0.0,0.0,107,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'JerseyNumber', 'InvolvedPlayers', 'PlayerPosition', 'TeamFormation', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,Braga,Vitoria de Guimaraes,
2454970881.0,3.0,0.0,0.0,288,52.605000000000004,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'PassEndX', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,407949.0,36.54,39.916000000000004,,,,,,,,,,99.0,Vítor Oliveira,False,Braga,Vitoria de Guimaraes,-0.004268819999999998
2454970911.0,4.0,0.0,2.0,288,36.330000000000005,41.14,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Zone', 'Angle', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,322689.0,26.880000000000003,49.980000000000004,,,,,,,,,,10.0,André Horta,False,Braga,Vitoria de Guimaraes,-0.00261342
2454971017.0,5.0,0.0,5.0,288,27.51,49.57200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Length', 'Chipped', 'Longball', 'Angle', 'Zone', 'PassEndY']","[91, 120, 124, 128, 36, 38, 217, 218]",True,422882.0,70.77000000000001,16.252,,,,,,,,,,4.0,Sikou Niakaté,True,Braga,Vitoria de Guimaraes,
2454971113.0,3.0,0.0,10.0,107,25.935,51.136,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'PassEndX', 'HeadPass', 'Length']","[91, 117, 30, 139, 36, 38, 215, 218]",True,444827.0,34.755,49.504000000000005,,,,,,,,,,,,False,Braga,Vitoria de Guimaraes,0.0016808000000000014
