id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2502961625.0,2.0,0.0,0.0,296,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Sporting,Braga,
2502961635.0,2.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Sporting,Braga,
2502986337.0,692.0,0.0,0.0,288,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Sporting,Braga,
2502986341.0,950.0,0.0,0.0,296,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Sporting,Braga,
2502939319.0,1.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'InvolvedPlayers', 'JerseyNumber', 'TeamFormation', 'CaptainPlayerId', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Sporting,Braga,
2502940067.0,1.0,0.0,0.0,296,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'InvolvedPlayers', 'JerseyNumber', 'TeamFormation', 'PlayerPosition', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Sporting,Braga,
2502961651.0,3.0,0.0,0.0,288,53.13,33.79600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndY', 'Zone', 'Length', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,300483.0,40.635000000000005,39.1,,,,,,,,,,23.0,Simon Banza,False,Sporting,Braga,-0.004268819999999998
,,0.0,0.0,288,40.635000000000005,39.1,,,Carry,,,,,346183.0,42.42,38.352000000000004,,,,,,,,,,19.0,Uros Racic,False,Sporting,Braga,0.0
2502961683.0,4.0,0.0,1.0,288,42.42,38.352000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'PassEndX', 'Length', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,346183.0,29.61,22.168000000000003,,,,,,,,,,19.0,Uros Racic,False,Sporting,Braga,-0.00152184
,,0.0,1.0,288,29.61,22.168000000000003,,,Carry,,,,,363935.0,29.61,20.604000000000003,,,,,,,,,,3.0,Vítor Tormena,False,Sporting,Braga,0.0
2502961733.0,5.0,0.0,4.0,288,29.61,20.604000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Chipped', 'Angle', 'PassEndX', 'StandingSave', 'Longball', 'Zone', 'Length']","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,363935.0,71.505,12.376000000000001,,,,,,,,,,3.0,Vítor Tormena,True,Sporting,Braga,0.012910589999999998
,,0.0,4.0,288,71.505,12.376000000000001,,,Carry,,,,,300483.0,72.55499999999999,15.164000000000001,,,,,,,,,,23.0,Simon Banza,False,Sporting,Braga,0.0
2502961737.0,6.0,0.0,8.0,288,72.55499999999999,15.164000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[197, 199]",False,300483.0,,,,,,,,,,,,23.0,Simon Banza,,Sporting,Braga,
2502961741.0,3.0,0.0,8.0,296,32.445,52.836000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Defensive']","[198, 200]",False,395992.0,,,,,,,,,,,,,,,Sporting,Braga,
2502961757.0,7.0,0.0,8.0,288,77.07000000000001,12.920000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'LayOff', 'Length', 'HeadPass', 'Zone']","[91, 119, 117, 30, 139, 205, 35, 38, 217, 218]",True,300483.0,72.55499999999999,8.704,,,,,,,,,,23.0,Simon Banza,False,Sporting,Braga,-0.0027939199999999983
2502961767.0,8.0,0.0,9.0,288,72.66000000000001,8.16,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndY', 'PassEndX', 'StandingSave', 'Zone', 'Length']","[91, 120, 29, 36, 37, 217, 218]",True,384566.0,80.01,18.224,,,,,,,,,,2.0,Víctor Gómez,True,Sporting,Braga,
2502961777.0,4.0,0.0,10.0,296,25.725,49.43600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,71268.0,,,,,,,,,,,,,,,Sporting,Braga,
