id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2547889189.0,2.0,0.0,0.0,2008,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Pacos de Ferreira,
2547889165.0,2.0,0.0,0.0,786,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Pacos de Ferreira,
2548024957.0,663.0,0.0,0.0,786,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Pacos de Ferreira,
2548024965.0,945.0,0.0,0.0,2008,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Pacos de Ferreira,
2547813803.0,1.0,0.0,0.0,2008,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'TeamFormation', 'CaptainPlayerId', 'JerseyNumber', 'PlayerPosition', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Chaves,Pacos de Ferreira,
2547814123.0,1.0,0.0,0.0,786,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'InvolvedPlayers', 'JerseyNumber', 'PlayerPosition', 'TeamPlayerFormation', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,Chaves,Pacos de Ferreira,
2547889253.0,3.0,0.0,0.0,786,52.5,33.864,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'StandingSave', 'Length', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,408941.0,35.07,40.868,,,,,,,,,,,,False,Chaves,Pacos de Ferreira,-0.0035222199999999995
2547889367.0,4.0,0.0,3.0,786,34.33500000000001,38.624,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Longball', 'Angle', 'PassEndX', 'StandingSave', 'Zone', 'PassEndY', 'Chipped']","[91, 120, 124, 128, 36, 38, 216, 218]",True,380682.0,66.675,18.972,,,,,,,,,,,,True,Chaves,Pacos de Ferreira,
2547889373.0,3.0,0.0,6.0,2008,39.06,52.088,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Defensive', 'Zone', 'OppositeRelatedEvent']","[197, 200]",False,121484.0,,,,,,,,,,,,19.0,Steven Vitória,,Chaves,Pacos de Ferreira,
2547889377.0,5.0,0.0,6.0,786,65.94,15.912,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[198, 199]",False,427566.0,,,,,,,,,,,,,,,Chaves,Pacos de Ferreira,
