id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2551913353.0,2.0,0.0,0.0,935,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Famalicao,Porto,
2551913355.0,2.0,0.0,0.0,297,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Famalicao,Porto,
2551987721.0,733.0,0.0,0.0,935,0.0,0.0,19.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Famalicao,Porto,
2551987727.0,916.0,0.0,0.0,297,0.0,0.0,19.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Famalicao,Porto,
2551874179.0,1.0,0.0,0.0,297,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'PlayerPosition', 'JerseyNumber', 'TeamPlayerFormation', 'TeamFormation', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,Famalicao,Porto,
2551875845.0,1.0,0.0,0.0,935,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'TeamFormation', 'CaptainPlayerId', 'TeamPlayerFormation', 'InvolvedPlayers', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Famalicao,Porto,
2551913365.0,3.0,0.0,0.0,935,52.29,34.068000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'StandingSave', 'Angle', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,409654.0,47.565,35.7,,,,,,,,,,77.0,Pablo,False,Famalicao,Porto,-0.0020492999999999987
2551913387.0,4.0,0.0,1.0,935,47.565,35.7,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Length', 'Angle', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,119622.0,38.325,28.220000000000002,,,,,,,,,,7.0,Ivo Rodrigues,False,Famalicao,Porto,-0.002219519999999999
,,0.0,1.0,935,38.325,28.220000000000002,,,Carry,,,,,330832.0,36.75,31.144000000000002,,,,,,,,,,28.0,Zaydou Youssouf,False,Famalicao,Porto,0.0
2551913429.0,5.0,0.0,3.0,935,36.75,31.144000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndY', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,330832.0,37.48500000000001,50.048,,,,,,,,,,28.0,Zaydou Youssouf,False,Famalicao,Porto,6.527999999999916e-05
,,0.0,3.0,935,37.48500000000001,50.048,,,Carry,,,,,298175.0,38.010000000000005,51.476000000000006,,,,,,,,,,97.0,Santiago Colombatto,False,Famalicao,Porto,-0.0005445499999999995
2551913475.0,6.0,0.0,7.0,935,38.010000000000005,51.476000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Angle', 'Length', 'PassEndX', 'PassEndY']","[91, 119, 117, 30, 36, 37, 216, 218]",True,298175.0,57.75,53.38,,,,,,,,,,97.0,Santiago Colombatto,True,Famalicao,Porto,0.003970940000000001
,,0.0,7.0,935,57.75,53.38,,,Carry,,,,,402892.0,82.84500000000001,58.888,,,,,,,,,,10.0,Iván Jaime,True,Famalicao,Porto,0.011444989999999999
2551913477.0,7.0,0.0,14.0,935,82.84500000000001,58.888,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Length', 'Zone']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,402892.0,73.39500000000001,59.092000000000006,,,,,,,,,,10.0,Iván Jaime,False,Famalicao,Porto,-0.008311429999999998
2551913489.0,8.0,0.0,17.0,935,73.39500000000001,59.092000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'Length', 'PassEndY', 'Zone', 'PassEndX', 'Angle', 'Cross', 'StandingSave', 'LeftFoot']","[91, 138, 124, 126, 36, 38, 217, 218]",True,298175.0,84.73500000000001,49.232000000000006,,,,,,,,,,97.0,Santiago Colombatto,True,Famalicao,Porto,
2551913505.0,3.0,0.0,17.0,297,23.31,22.032,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone', 'Head']",[91],True,244779.0,,,,,,,,,,,,,,,Famalicao,Porto,
2551913575.0,9.0,0.0,23.0,935,49.665,30.328000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndX', 'Length', 'PassEndY', 'StandingSave', 'Longball']","[91, 117, 127, 35, 37, 215, 218]",True,380619.0,34.125,60.11200000000001,,,,,,,,,,15.0,Riccieli,False,Famalicao,Porto,-0.00506939
,,0.0,23.0,935,34.125,60.11200000000001,,,Carry,,,,,402207.0,36.435,64.464,,,,,,,,,,13.0,Otávio,False,Famalicao,Porto,0.0014860800000000007
2551913593.0,10.0,0.0,28.0,935,36.435,64.464,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Angle', 'StandingSave', 'PassEndX', 'Zone']","[91, 119, 117, 30, 36, 216, 218]",True,402207.0,58.065,64.464,,,,,,,,,,13.0,Otávio,True,Famalicao,Porto,0.0034732899999999987
2551913615.0,11.0,0.0,30.0,935,58.065,64.464,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'StandingSave', 'Length', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,136435.0,65.73,54.400000000000006,,,,,,,,,,5.0,Rúben Lima,True,Famalicao,Porto,0.0039675100000000005
,,0.0,30.0,935,65.73,54.400000000000006,,,Carry,,,,,409654.0,66.78,52.7,,,,,,,,,,77.0,Pablo,False,Famalicao,Porto,0.0
2551913619.0,12.0,0.0,32.0,935,66.78,52.7,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'PassEndY', 'Length', 'Angle']","[91, 119, 117, 30, 35, 37, 216, 218]",True,409654.0,56.28,53.17600000000001,,,,,,,,,,77.0,Pablo,False,Famalicao,Porto,-0.0025853399999999985
2551913667.0,13.0,0.0,34.0,935,56.28,53.17600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'PassEndX', 'StandingSave', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,298175.0,42.73500000000001,45.084,,,,,,,,,,97.0,Santiago Colombatto,False,Famalicao,Porto,-0.0034263900000000014
,,0.0,34.0,935,42.73500000000001,45.084,,,Carry,,,,,380619.0,35.7,38.692,,,,,,,,,,15.0,Riccieli,False,Famalicao,Porto,-6.527999999999916e-05
2551913691.0,14.0,0.0,37.0,935,35.7,38.692,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'Length', 'Angle', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,380619.0,42.63,43.112,,,,,,,,,,15.0,Riccieli,False,Famalicao,Porto,6.527999999999916e-05
2551913701.0,15.0,0.0,40.0,935,42.63,43.112,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Length', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,298175.0,34.86000000000001,37.468,,,,,,,,,,97.0,Santiago Colombatto,False,Famalicao,Porto,-0.0013679799999999995
,,0.0,40.0,935,34.86000000000001,37.468,,,Carry,,,,,380619.0,32.97,33.11600000000001,,,,,,,,,,15.0,Riccieli,False,Famalicao,Porto,-0.0013027000000000004
2551913753.0,16.0,0.0,43.0,935,32.97,33.11600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndY', 'PassEndX', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,380619.0,32.655,16.796,,,,,,,,,,15.0,Riccieli,False,Famalicao,Porto,-0.0007288600000000013
,,0.0,43.0,935,32.655,16.796,,,Carry,,,,,330832.0,33.18,19.380000000000003,,,,,,,,,,28.0,Zaydou Youssouf,False,Famalicao,Porto,0.0005097200000000017
2551913785.0,17.0,0.0,47.0,935,33.18,19.380000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Length', 'Longball', 'Angle', 'Chipped', 'Zone', 'StandingSave', 'PassEndX']","[91, 120, 124, 128, 36, 37, 217, 218]",True,330832.0,93.45,44.676,,,,,,,,,,28.0,Zaydou Youssouf,True,Famalicao,Porto,
2551913797.0,4.0,0.0,52.0,297,11.55,18.088,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,['StandingSave'],[93],False,373842.0,,,,,,,,,,,,,,,Famalicao,Porto,
2551913875.0,5.0,0.0,56.0,297,11.025,29.240000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Length', 'Angle', 'KeeperThrow', 'PassEndY', 'PassEndX']","[91, 36, 37, 215, 218]",True,373842.0,14.91,44.812000000000005,,,,,,,,,,,,False,Famalicao,Porto,-0.0010497700000000002
2551913901.0,6.0,0.0,59.0,297,14.805,43.86000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'PassEndX', 'Zone', 'StandingSave']","[91, 117, 30, 36, 38, 215, 218]",True,28521.0,15.855,16.252,,,,,,,,,,,,False,Famalicao,Porto,-0.0009915600000000007
2551913951.0,7.0,1.0,3.0,297,12.81,15.912,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'PassEndY', 'Length', 'StandingSave', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,10105.0,3.57,31.008000000000003,,,,,,,,,,,,False,Famalicao,Porto,0.0006246700000000008
2551913973.0,8.0,1.0,8.0,297,5.88,34.34,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'Zone', 'PassEndY', 'StandingSave']","[91, 117, 30, 36, 37, 215, 218]",True,373842.0,7.3500000000000005,53.85600000000001,,,,,,,,,,,,False,Famalicao,Porto,-0.0019098400000000003
2551914007.0,9.0,1.0,12.0,297,10.605,54.876000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Length', 'Longball', 'Angle', 'Chipped', 'Zone', 'PassEndY']","[91, 117, 124, 127, 36, 38, 216, 218]",True,28521.0,41.265,45.492000000000004,,,,,,,,,,,,True,Famalicao,Porto,0.0039058500000000006
2551914029.0,10.0,1.0,15.0,297,43.47,51.952000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Zone', 'Offensive', 'OppositeRelatedEvent', 'StandingSave']","[91, 54]",True,120608.0,,,,,,,,,,,,,,,Famalicao,Porto,
2551914021.0,18.0,1.0,15.0,935,61.53,16.048000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['OppositeRelatedEvent', 'Defensive', 'Zone']",[55],False,380619.0,,,,,,,,,,,,15.0,Riccieli,,Famalicao,Porto,
2551914031.0,11.0,1.0,16.0,297,46.935,60.11200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['StandingSave', 'Zone', 'Offensive', 'OppositeRelatedEvent']","[91, 53]",True,120608.0,,,,,,,,,,,,,,,Famalicao,Porto,
2551914053.0,19.0,1.0,16.0,935,58.065,7.888,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Zone', 'StandingSave', 'OppositeRelatedEvent', 'Defensive']","[91, 143]",True,402207.0,,,,,,,,,,,,13.0,Otávio,,Famalicao,Porto,
2551914099.0,13.0,1.0,21.0,297,60.795,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'ThrowIn', 'Angle', 'PassEndY', 'Length', 'PassEndX', 'Longball']","[91, 212, 36, 38, 217]",True,347204.0,94.605,56.984,,,,,,,,,,,,True,Famalicao,Porto,0.03174125
