id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2452464427.0,2.0,0.0,0.0,935,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2452464415.0,2.0,0.0,0.0,251,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2452549069.0,825.0,0.0,0.0,935,0.0,0.0,11.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2452549083.0,813.0,0.0,0.0,251,0.0,0.0,11.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2452432841.0,1.0,0.0,0.0,935,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'CaptainPlayerId', 'TeamPlayerFormation', 'JerseyNumber', 'InvolvedPlayers', 'TeamFormation']",[],False,,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2452436221.0,1.0,0.0,0.0,251,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'InvolvedPlayers', 'JerseyNumber', 'TeamPlayerFormation', 'CaptainPlayerId', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2452464455.0,3.0,0.0,0.0,251,52.605000000000004,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Zone', 'StandingSave', 'Angle', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,422200.0,42.525,28.492,,,,,,,,,,,,False,Famalicao,Santa Clara,-0.004268819999999998
2452464473.0,4.0,0.0,2.0,251,46.095,29.104,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'StandingSave', 'PassEndY', 'Length', 'Chipped', 'Zone', 'PassEndX', 'Angle']","[91, 120, 124, 128, 36, 37, 217, 218]",True,101748.0,79.275,56.848,,,,,,,,,,,,True,Famalicao,Santa Clara,
2452464477.0,3.0,0.0,4.0,935,27.195,12.58,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Zone', 'OppositeRelatedEvent', 'Defensive']","[197, 200]",False,119622.0,,,,,,,,,,,,7.0,Ivo Rodrigues,,Famalicao,Santa Clara,
2452464491.0,5.0,0.0,4.0,251,77.80499999999999,55.42,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Offensive', 'Zone', 'OppositeRelatedEvent']","[198, 199]",False,281935.0,,,,,,,,,,,,,,,Famalicao,Santa Clara,
