id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2509950757.0,2.0,0.0,0.0,251,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2509950773.0,2.0,0.0,0.0,935,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2510047467.0,747.0,0.0,0.0,251,0.0,0.0,14.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2510047583.0,923.0,0.0,0.0,935,0.0,0.0,14.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2509896175.0,1.0,0.0,0.0,251,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'InvolvedPlayers', 'TeamFormation', 'CaptainPlayerId', 'TeamPlayerFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2509898907.0,1.0,0.0,0.0,935,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'InvolvedPlayers', 'PlayerPosition', 'JerseyNumber', 'TeamPlayerFormation', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2509950839.0,3.0,0.0,0.0,251,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'PassEndX', 'Angle', 'StandingSave']","[91, 117, 30, 35, 38, 216, 218]",True,397849.0,38.115,32.504,,,,,,,,,,,,,False,Santa Clara,Famalicao,-0.002219519999999999
2509950865.0,4.0,0.0,2.0,251,38.115,32.504,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Longball', 'PassEndX', 'Length', 'PassEndY', 'StandingSave', 'Angle', 'Chipped']","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,378828.0,79.59,13.532,,,,,,,,,,,,,True,Santa Clara,Famalicao,0.01690626
2509950877.0,5.0,0.0,5.0,251,80.01,15.912,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Zone', 'Offensive', 'OppositeRelatedEvent']","[197, 199]",False,431984.0,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2509950891.0,3.0,0.0,5.0,935,24.990000000000002,52.088,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[198, 200]",False,363299.0,,,,,,,,,,,,,4.0,Enea Mihaj,,Santa Clara,Famalicao,
2509994685.0,350.0,0.0,5.0,251,77.175,18.292,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'HeadPass', 'Angle', 'Length', 'PassEndX', 'PassEndY']","[91, 120, 29, 139, 36, 38, 217, 218]",True,431984.0,78.64500000000001,17.408,,,,,,,,,,,,,False,Santa Clara,Famalicao,
2509950939.0,4.0,0.0,7.0,935,24.990000000000002,49.57200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Head', 'Zone']",[91],True,363299.0,,,,,,,,,,,,,4.0,Enea Mihaj,,Santa Clara,Famalicao,
2509950943.0,5.0,0.0,9.0,935,29.925,46.647999999999996,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,330832.0,,,,,,,,,,,,,28.0,Zaydou Youssouf,,Santa Clara,Famalicao,
2509950985.0,6.0,0.0,9.0,935,29.925,46.647999999999996,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'PassEndY', 'Angle', 'Length', 'StandingSave', 'Longball', 'Zone']","[91, 120, 128, 36, 38, 216, 218]",True,330832.0,55.86000000000001,29.92,,,,,,,,,,,28.0,Zaydou Youssouf,True,Santa Clara,Famalicao,
2509951009.0,6.0,0.0,11.0,251,51.345,34.68,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'PassEndX', 'Length', 'HeadPass', 'Angle', 'Zone']","[91, 120, 29, 139, 36, 37, 216, 218]",True,455563.0,68.565,51.61200000000001,,,,,,,,,,,,,False,Santa Clara,Famalicao,
2509951075.0,7.0,0.0,15.0,935,42.42,20.672,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Offensive', 'Foul', 'OppositeRelatedEvent', 'Zone']","[91, 63]",True,362805.0,,,,,,,,,,,,,23.0,Alex Dobre,,Santa Clara,Famalicao,
2509951087.0,7.0,0.0,15.0,251,62.580000000000005,47.328,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['Foul', 'Defensive', 'StandingSave', 'Zone', 'OppositeRelatedEvent']",[64],False,397582.0,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2509951337.0,8.0,0.0,23.0,935,48.615,17.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['FreekickTaken', 'PassEndY', 'Length', 'StandingSave', 'Angle', 'Zone', 'PassEndX']","[91, 117, 30, 132, 35, 37, 216, 218]",True,330832.0,35.49,17.272000000000002,,,,,,,,,,,28.0,Zaydou Youssouf,False,Santa Clara,Famalicao,-0.0032505000000000017
2509995179.0,468.0,0.0,24.0,935,35.805,16.796,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'Zone', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 38, 216, 218]",True,380619.0,45.885000000000005,15.98,,,,,,,,,,,15.0,Riccieli,False,Santa Clara,Famalicao,0.0016982100000000003
,,0.0,24.0,935,45.885000000000005,15.98,,,Carry,,,,,330832.0,47.775,16.592,,,,,,,,,,,28.0,Zaydou Youssouf,False,Santa Clara,Famalicao,0.0
2509995279.0,469.0,0.0,29.0,935,47.775,16.592,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'StandingSave', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,330832.0,59.010000000000005,2.9920000000000004,,,,,,,,,,,28.0,Zaydou Youssouf,False,Santa Clara,Famalicao,0.0008905599999999986
,,0.0,29.0,935,59.010000000000005,2.9920000000000004,,,Carry,,,,,119622.0,46.935,28.016000000000005,,,,,,,,,,,7.0,Ivo Rodrigues,False,Santa Clara,Famalicao,0.0001100200000000006
2509951507.0,9.0,0.0,37.0,935,46.935,28.016000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Longball', 'Angle', 'Zone', 'StandingSave', 'PassEndY', 'PassEndX']","[91, 120, 128, 36, 37, 217, 218]",True,119622.0,105.0,63.24,,,,,,,,,,,7.0,Ivo Rodrigues,True,Santa Clara,Famalicao,
2509951863.0,9.0,1.0,1.0,251,5.460000000000001,27.880000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Chipped', 'PassEndX', 'Angle', 'MissHigh', 'PassEndY', 'Zone', 'GoalKick', 'Length', 'Longball']","[91, 117, 124, 127, 36, 38, 216, 218]",True,337629.0,50.19,4.0120000000000005,,,,,,,,,,,,,True,Santa Clara,Famalicao,0.00307288
2509996017.0,352.0,1.0,5.0,251,48.300000000000004,6.256,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Zone', 'Defensive']","[197, 200]",False,431984.0,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2509995917.0,471.0,1.0,5.0,935,56.7,61.744,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[198, 199]",False,298175.0,,,,,,,,,,,,,97.0,Santiago Colombatto,,Santa Clara,Famalicao,
2509951903.0,10.0,1.0,5.0,251,50.19,4.148,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'HeadPass', 'Zone', 'PassEndY', 'PassEndX', 'Angle']","[91, 118, 120, 29, 139, 35, 37, 216, 218]",True,431984.0,46.830000000000005,13.940000000000001,,,,,,,,,,,,,False,Santa Clara,Famalicao,
2509951911.0,11.0,1.0,7.0,251,47.67,9.316,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Defensive', 'Zone', 'OppositeRelatedEvent']","[197, 200]",False,469662.0,,,,,,,,,,,,,,,,Santa Clara,Famalicao,
2509951907.0,11.0,1.0,7.0,935,57.330000000000005,58.684000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[198, 199]",False,119622.0,,,,,,,,,,,,,7.0,Ivo Rodrigues,,Santa Clara,Famalicao,
2509995439.0,351.0,1.0,7.0,251,42.63,12.376000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['HeadPass', 'Angle', 'PassEndX', 'PassEndY', 'Zone', 'Length']","[91, 118, 120, 29, 139, 36, 216, 218]",True,469662.0,45.464999999999996,12.376000000000001,,,,,,,,,,,,,False,Santa Clara,Famalicao,
2509995465.0,470.0,1.0,7.0,935,59.43000000000001,3.74,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'Head']",[91],True,119622.0,,,,,,,,,,,,,7.0,Ivo Rodrigues,,Santa Clara,Famalicao,
