id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2442730425.0,2.0,0.0,0.0,2188,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Estoril,Famalicao,
2442730411.0,2.0,0.0,0.0,935,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Estoril,Famalicao,
2442733645.0,41.0,0.0,0.0,935,38.955000000000005,35.904,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,57579.0,,,,,,,,,,,,8.0,Andre Simoes,,Estoril,Famalicao,
2442829903.0,839.0,0.0,0.0,935,0.0,0.0,11.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Estoril,Famalicao,
2442830143.0,801.0,0.0,0.0,2188,0.0,0.0,11.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Estoril,Famalicao,
2442691959.0,1.0,0.0,0.0,2188,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'PlayerPosition', 'CaptainPlayerId', 'TeamFormation', 'TeamPlayerFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Estoril,Famalicao,
2442696161.0,1.0,0.0,0.0,935,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'InvolvedPlayers', 'TeamPlayerFormation', 'TeamFormation', 'PlayerPosition', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Estoril,Famalicao,
2442730577.0,3.0,0.0,0.0,935,52.5,33.932,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'PassEndY', 'Angle', 'StandingSave', 'Zone']","[91, 117, 30, 35, 37, 216, 218]",True,69742.0,35.49,34.34,,,,,,,,,,17.0,Rui Fonte,False,Estoril,Famalicao,-0.0055715199999999
,,0.0,0.0,935,35.49,34.34,,,Carry,,,,,57579.0,38.955000000000005,35.904,,,,,,,,,,8.0,Andre Simoes,False,Estoril,Famalicao,0.0
2442735081.0,56.0,0.0,3.0,935,32.655,25.568,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,400243.0,33.705000000000005,26.588000000000005,,,,,,,,,,21.0,Dylan Batubinsika,False,Estoril,Famalicao,0.0
2442735223.0,57.0,0.0,4.0,935,34.33500000000001,26.180000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'StandingSave', 'Zone', 'PassEndX', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,57579.0,37.695,42.16,,,,,,,,,,8.0,Andre Simoes,False,Estoril,Famalicao,0.0013027
,,0.0,4.0,935,37.695,42.16,,,Carry,,,,,422248.0,35.07,45.492,,,,,,,,,,6.0,Alexandre Penetra,False,Estoril,Famalicao,-0.00152184
2442730589.0,4.0,0.0,8.0,935,35.07,45.492,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'StandingSave', 'PassEndY', 'Zone', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,422248.0,33.495,23.256000000000004,,,,,,,,,,6.0,Alexandre Penetra,False,Estoril,Famalicao,-0.0015871199999999
,,0.0,8.0,935,33.495,23.256000000000004,,,Carry,,,,,400243.0,33.495,20.06,,,,,,,,,,21.0,Dylan Batubinsika,False,Estoril,Famalicao,0.0
2442730659.0,5.0,0.0,11.0,935,33.495,20.06,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndX', 'Length', 'PassEndY', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,400243.0,36.330000000000005,4.828,,,,,,,,,,21.0,Dylan Batubinsika,False,Estoril,Famalicao,0.0001580499999999
2442730687.0,6.0,0.0,13.0,935,35.595,4.828,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Angle', 'PassEndY', 'Length', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,333111.0,32.445,21.624,,,,,,,,,,32.0,Martín Aguirregabiria,False,Estoril,Famalicao,-0.0001580499999999
2442730749.0,7.0,0.0,17.0,935,32.655,23.052,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'Angle', 'PassEndY', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,400243.0,26.355000000000004,46.71600000000001,,,,,,,,,,21.0,Dylan Batubinsika,False,Estoril,Famalicao,-0.00109158
,,0.0,17.0,935,26.355000000000004,46.71600000000001,,,Carry,,,,,422248.0,25.095,43.928,,,,,,,,,,6.0,Alexandre Penetra,False,Estoril,Famalicao,-0.00109158
