id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2538086483.0,2.0,0.0,0.0,1463,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Portimonense,Gil Vicente,
2538086479.0,2.0,0.0,0.0,290,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Portimonense,Gil Vicente,
2538204709.0,772.0,0.0,0.0,1463,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Portimonense,Gil Vicente,
2538204753.0,896.0,0.0,0.0,290,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Portimonense,Gil Vicente,
2538020867.0,1.0,0.0,0.0,290,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'CaptainPlayerId', 'InvolvedPlayers', 'TeamPlayerFormation', 'PlayerPosition', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Portimonense,Gil Vicente,
2538022681.0,1.0,0.0,0.0,1463,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'TeamFormation', 'PlayerPosition', 'CaptainPlayerId', 'TeamPlayerFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Portimonense,Gil Vicente,
2538086557.0,3.0,0.0,0.0,290,52.5,33.864,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndX', 'PassEndY', 'Zone', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,369398.0,41.055,32.164,,,,,,,,,,9.0,Fran Navarro,False,Portimonense,Gil Vicente,-0.004268819999999998
2538086605.0,4.0,0.0,3.0,290,40.635000000000005,31.348000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'Length', 'PassEndX', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,331609.0,34.33500000000001,16.048000000000002,,,,,,,,,,21.0,Vitor Carvalho,False,Portimonense,Gil Vicente,-0.0020315600000000017
2538086639.0,5.0,0.0,5.0,290,34.02,14.96,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Angle', 'Length', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,322735.0,40.214999999999996,26.316000000000003,,,,,,,,,,15.0,Carraça,False,Portimonense,Gil Vicente,0.0020315600000000017
2538086737.0,6.0,0.0,6.0,290,39.27,25.976000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Angle', 'PassEndY', 'Length', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,331609.0,27.72,19.856,,,,,,,,,,21.0,Vitor Carvalho,False,Portimonense,Gil Vicente,-0.00261342
,,0.0,6.0,290,27.72,19.856,,,Carry,,,,,426502.0,34.545,5.304,,,,,,,,,,72.0,Tomás Araújo,False,Portimonense,Gil Vicente,-0.0013280300000000009
2538086763.0,7.0,0.0,11.0,290,34.545,5.304,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndY', 'Zone', 'StandingSave', 'PassEndX', 'Chipped', 'Angle']","[91, 118, 120, 29, 124, 36, 38, 216, 218]",True,426502.0,49.455000000000005,0.0,,,,,,,,,,72.0,Tomás Araújo,False,Portimonense,Gil Vicente,
2538087023.0,4.0,0.0,21.0,1463,50.505,68.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['ThrowIn', 'Zone', 'PassEndX', 'Angle', 'Longball', 'PassEndY', 'Length']","[91, 212, 36, 38, 217]",True,422207.0,82.32000000000001,48.75600000000001,,,,,,,,,,,,True,Portimonense,Gil Vicente,
