id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2534640377.0,2.0,0.0,0.0,121,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Rio Ave,Casa Pia AC,
2534640363.0,2.0,0.0,0.0,9509,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Rio Ave,Casa Pia AC,
2534750469.0,755.0,0.0,0.0,9509,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Rio Ave,Casa Pia AC,
2534750489.0,937.0,0.0,0.0,121,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Rio Ave,Casa Pia AC,
2534596993.0,1.0,0.0,0.0,121,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'TeamFormation', 'InvolvedPlayers', 'PlayerPosition', 'JerseyNumber', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Rio Ave,Casa Pia AC,
2534597079.0,1.0,0.0,0.0,9509,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'InvolvedPlayers', 'TeamPlayerFormation', 'PlayerPosition', 'CaptainPlayerId', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Rio Ave,Casa Pia AC,
2534640383.0,3.0,0.0,0.0,9509,52.71000000000001,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Length', 'Angle', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,135347.0,36.645,47.124,,,,,,,,,,,,False,Rio Ave,Casa Pia AC,-0.005790659999999998
2534640447.0,4.0,0.0,4.0,9509,37.800000000000004,45.424,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Longball', 'Chipped', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 120, 124, 128, 36, 38, 217, 218]",True,105686.0,70.98,0.0,,,,,,,,,,,,True,Rio Ave,Casa Pia AC,
2534640639.0,4.0,0.0,13.0,121,31.71,68.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'PassEndX', 'Angle', 'ThrowIn']","[91, 212, 36, 38, 216]",True,444576.0,35.07,65.688,,,,,,,,,,77.0,Fábio Ronaldo,False,Rio Ave,Casa Pia AC,0.0
2534640643.0,5.0,0.0,19.0,121,35.7,66.028,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,349176.0,,,,,,,,,,,,95.0,André Pereira,,Rio Ave,Casa Pia AC,
2534640773.0,7.0,0.0,25.0,9509,63.945,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'PassEndX', 'ThrowIn', 'PassEndY', 'Length', 'Zone', 'Angle']","[91, 212, 35, 37, 215]",True,446997.0,30.765,4.6240000000000006,,,,,,,,,,,,False,Rio Ave,Casa Pia AC,-0.007674009999999997
2534640905.0,8.0,0.0,30.0,9509,30.555000000000003,11.491999999999999,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'PassEndX', 'Angle']","[91, 117, 30, 36, 37, 215, 218]",True,444765.0,30.765,20.536,,,,,,,,,,,,False,Rio Ave,Casa Pia AC,0.0005097200000000017
2534640911.0,9.0,0.0,35.0,9509,32.445,32.096000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Zone', 'Length', 'Angle']","[91, 117, 30, 36, 37, 215, 218]",True,136355.0,33.18,51.748,,,,,,,,,,,,False,Rio Ave,Casa Pia AC,-0.0007288600000000013
2534640941.0,10.0,0.0,37.0,9509,33.285000000000004,51.408,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'Length', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,105686.0,28.665000000000003,31.076000000000004,,,,,,,,,,,,False,Rio Ave,Casa Pia AC,0.0007288600000000013
2534641033.0,11.0,0.0,39.0,9509,28.665000000000003,30.736000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Chipped', 'Length', 'Zone', 'PassEndY', 'Longball']","[91, 119, 117, 124, 127, 36, 38, 216, 218]",True,136355.0,62.265,7.684000000000001,,,,,,,,,,,,True,Rio Ave,Casa Pia AC,0.006126839999999996
2534641041.0,12.0,0.0,40.0,9509,62.265,7.684000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,446997.0,,,,,,,,,,,,,,,Rio Ave,Casa Pia AC,
2534687549.0,425.0,0.0,44.0,121,39.795,59.568,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,444576.0,,,,,,,,,,,,77.0,Fábio Ronaldo,,Rio Ave,Casa Pia AC,
2534641085.0,7.0,0.0,45.0,121,33.285000000000004,58.684000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,356232.0,,,,,,,,,,,,4.0,Patrick William,,Rio Ave,Casa Pia AC,
2534641107.0,8.0,0.0,45.0,121,33.285000000000004,58.684000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Zone', 'Angle']","[91, 117, 30, 36, 38, 216, 218]",True,356232.0,42.105000000000004,50.93200000000001,,,,,,,,,,4.0,Patrick William,False,Rio Ave,Casa Pia AC,0.0015522900000000013
,,0.0,45.0,121,42.105000000000004,50.93200000000001,,,Carry,,,,,444576.0,43.050000000000004,48.28,,,,,,,,,,77.0,Fábio Ronaldo,False,Rio Ave,Casa Pia AC,0.0
2534641111.0,9.0,0.0,46.0,121,43.050000000000004,48.28,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[91, 70]",True,444576.0,,,,,,,,,,,,77.0,Fábio Ronaldo,,Rio Ave,Casa Pia AC,
2534641113.0,13.0,0.0,46.0,9509,61.95,19.720000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Zone', 'Defensive', 'OppositeRelatedEvent']","[91, 143]",True,322631.0,,,,,,,,,,,,,,,Rio Ave,Casa Pia AC,
2534641115.0,14.0,0.0,48.0,9509,67.62,23.528000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,444768.0,,,,,,,,,,,,,,,Rio Ave,Casa Pia AC,
