id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isOwnGoal,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2497852871.0,2.0,0.0,0.0,299,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Benfica,Sporting,
2497852867.0,2.0,0.0,0.0,296,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Benfica,Sporting,
2497884977.0,820.0,0.0,0.0,296,0.0,0.0,12.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Benfica,Sporting,
2497885249.0,929.0,0.0,0.0,299,0.0,0.0,12.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Benfica,Sporting,
2497833337.0,1.0,0.0,0.0,299,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'InvolvedPlayers', 'PlayerPosition', 'CaptainPlayerId', 'TeamFormation', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,,Benfica,Sporting,
2497833773.0,1.0,0.0,0.0,296,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'CaptainPlayerId', 'PlayerPosition', 'JerseyNumber', 'TeamPlayerFormation', 'TeamFormation']",[],False,,,,,,,,,,,,,,,,,Benfica,Sporting,
2497852881.0,3.0,0.0,1.0,296,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Length', 'Zone', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,135563.0,47.67,37.468,,,,,,,,,,,20.0,Paulinho,False,Benfica,Sporting,-0.0020492999999999987
2497852889.0,4.0,0.0,2.0,296,47.98500000000001,36.652,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndY', 'Zone', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,344378.0,45.885000000000005,31.076000000000004,,,,,,,,,,,28.0,Pote,False,Benfica,Sporting,0.0
,,0.0,2.0,296,45.885000000000005,31.076000000000004,,,Carry,,,,,408962.0,43.260000000000005,31.552,,,,,,,,,,,15.0,Manuel Ugarte,False,Benfica,Sporting,-0.002219519999999999
2497852899.0,5.0,0.0,4.0,296,43.260000000000005,31.552,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'PassEndY', 'Zone', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,408962.0,35.595,53.38,,,,,,,,,,,15.0,Manuel Ugarte,False,Benfica,Sporting,-0.0004792700000000004
2497852905.0,6.0,0.0,6.0,296,35.7,53.38,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'Angle', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,283978.0,41.265,63.376000000000005,,,,,,,,,,,2.0,Matheus Reis,False,Benfica,Sporting,-0.0008845199999999998
,,0.0,6.0,296,41.265,63.376000000000005,,,Carry,,,,,296364.0,39.165,63.376000000000005,,,,,,,,,,,11.0,Nuno Santos,False,Benfica,Sporting,0.0
