id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2513449475.0,2.0,0.0,0.0,107,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Braga,
2513449469.0,2.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Braga,
2513471075.0,851.0,0.0,0.0,107,0.0,0.0,14.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Braga,
2513471349.0,822.0,0.0,0.0,288,0.0,0.0,14.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Braga,
2513423331.0,1.0,0.0,0.0,107,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'InvolvedPlayers', 'TeamFormation', 'TeamPlayerFormation', 'CaptainPlayerId', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Braga,
2513424091.0,1.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'TeamPlayerFormation', 'JerseyNumber', 'CaptainPlayerId', 'TeamFormation', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Braga,
2513449497.0,3.0,0.0,0.0,107,52.395,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'Angle', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 215, 218]",True,135638.0,31.71,34.0,,,,,,,,,,10.0,Tiago Silva,False,Vitoria de Guimaraes,Braga,-0.0035222199999999995
,,0.0,0.0,107,31.71,34.0,,,Carry,,,,,318502.0,32.13,37.264,,,,,,,,,,3.0,Mikel Villanueva,False,Vitoria de Guimaraes,Braga,0.0
2513449513.0,4.0,0.0,2.0,107,32.13,37.264,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'PassEndX', 'Zone', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,318502.0,43.050000000000004,61.404,,,,,,,,,,3.0,Mikel Villanueva,False,Vitoria de Guimaraes,Braga,-6.108999999999976e-05
,,0.0,2.0,107,43.050000000000004,61.404,,,Carry,,,,,447235.0,41.895,62.56,,,,,,,,,,72.0,Afonso Freitas,False,Vitoria de Guimaraes,Braga,0.0
