id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2485373575.0,2.0,0.0,0.0,264,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Maritimo,
2485373581.0,2.0,0.0,0.0,107,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Maritimo,
2485472533.0,865.0,0.0,0.0,107,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Maritimo,
2485472623.0,864.0,0.0,0.0,264,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Maritimo,
2485319327.0,1.0,0.0,0.0,107,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'JerseyNumber', 'InvolvedPlayers', 'TeamFormation', 'CaptainPlayerId', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Maritimo,
2485323897.0,1.0,0.0,0.0,264,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'PlayerPosition', 'TeamFormation', 'JerseyNumber', 'InvolvedPlayers', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Maritimo,
2485373623.0,3.0,0.0,0.0,264,52.395,34.068000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Length', 'Angle', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,361831.0,25.830000000000002,32.096000000000004,,,,,,,,,,,,False,Vitoria de Guimaraes,Maritimo,-0.006729789999999999
2485373645.0,4.0,0.0,4.0,264,27.615000000000002,33.592,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndY', 'Zone', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,137058.0,17.64,54.944,,,,,,,,,,,,False,Vitoria de Guimaraes,Maritimo,-0.002537870000000001
2485373671.0,5.0,0.0,6.0,264,17.745,57.596000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'PassEndY', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,345713.0,26.355000000000004,65.62,,,,,,,,,,,,False,Vitoria de Guimaraes,Maritimo,-0.0009752800000000002
2485373701.0,6.0,0.0,9.0,264,24.044999999999998,65.28,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,329366.0,13.23,64.19200000000001,,,,,,,,,,,,False,Vitoria de Guimaraes,Maritimo,-0.0006523799999999993
2485373719.0,7.0,0.0,11.0,264,14.175,67.524,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Offensive', 'OppositeRelatedEvent', 'PassEndY', 'Zone', 'Length', 'Angle', 'PassEndX']","[91, 118, 120, 29, 36, 38, 215, 218]",True,345713.0,17.430000000000003,67.048,,,,,,,,,,,,False,Vitoria de Guimaraes,Maritimo,
2485373785.0,3.0,0.0,11.0,107,87.36000000000001,4.6240000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Defensive', 'OppositeRelatedEvent', 'Zone']","[91, 60]",True,276037.0,,,,,,,,,,,,7.0,Ruben Lameiras,,Vitoria de Guimaraes,Maritimo,
2485373953.0,9.0,0.0,20.0,264,23.415000000000003,68.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'ThrowIn', 'PassEndX', 'Angle', 'Longball']","[91, 212, 36, 38, 216]",True,329366.0,35.385000000000005,46.172000000000004,,,,,,,,,,,,False,Vitoria de Guimaraes,Maritimo,0.004243200000000001
2485373999.0,10.0,0.0,23.0,264,35.7,43.52,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Length', 'PassEndX', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,422003.0,25.200000000000003,26.656000000000002,,,,,,,,,,,,False,Vitoria de Guimaraes,Maritimo,-0.0025262500000000007
2485374025.0,11.0,0.0,27.0,264,25.200000000000003,26.656000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Angle', 'PassEndY', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,422005.0,37.800000000000004,3.5360000000000005,,,,,,,,,,,,False,Vitoria de Guimaraes,Maritimo,0.0010971800000000014
2485374035.0,12.0,0.0,29.0,264,37.695,3.808,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Length', 'PassEndY', 'Angle']","[91, 119, 117, 30, 36, 37, 216, 218]",True,101952.0,54.285000000000004,13.260000000000002,,,,,,,,,,,,True,Vitoria de Guimaraes,Maritimo,0.004855460000000001
2485374047.0,13.0,0.0,30.0,264,54.705000000000005,11.152,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,335707.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Maritimo,
2485374115.0,5.0,0.0,31.0,107,43.89,61.608000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndY', 'Length', 'Angle', 'PassEndX', 'Zone']","[91, 94, 95, 216]",True,412912.0,44.94,68.0,,,,,,,,,,5.0,Hélder Sá,,Vitoria de Guimaraes,Maritimo,
2485374165.0,15.0,0.0,38.0,264,56.910000000000004,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'Length', 'PassEndX', 'ThrowIn']","[91, 212, 36, 37, 216]",True,101952.0,63.839999999999996,5.78,,,,,,,,,,,,False,Vitoria de Guimaraes,Maritimo,0.002714640000000001
2485374193.0,16.0,0.0,43.0,264,66.99,4.556,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,361831.0,,,,,,,,,,,,,,,Vitoria de Guimaraes,Maritimo,
2485374297.0,8.0,0.0,54.0,107,30.87,68.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'ThrowIn', 'PassEndX', 'Length', 'PassEndY']","[91, 212, 36, 38, 216]",True,412912.0,45.36000000000001,64.668,,,,,,,,,,5.0,Hélder Sá,False,Vitoria de Guimaraes,Maritimo,
2485374335.0,18.0,0.0,55.0,264,53.655,7.276,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'HeadPass', 'PassEndY', 'PassEndX', 'Length', 'Angle']","[91, 120, 29, 139, 36, 37, 216, 218]",True,422003.0,56.595,20.264000000000003,,,,,,,,,,,,False,Vitoria de Guimaraes,Maritimo,
