Position,Team,Games,Wins,Draws,Losses,Goals,Goals Against,Goal Difference,Points,Last 5,Attendance
1,Benfica,12,11,1,0,34,6,28,34,D W W W W,53964
2,Porto,12,8,2,2,27,8,19,26,W W L D W,45985
3,Braga,12,8,1,3,27,11,16,25,L L W W L,15248
4,Casa Pia,12,7,2,3,12,8,4,23,W L L W W,5050
5,Sporting,12,7,1,4,24,14,10,22,W W W L W,29130
6,Vitoria de Guimaraes,12,6,2,4,13,13,0,20,D W W W L,14596
7,Portimonense,12,6,1,5,11,12,-1,19,L L L D W,2356
8,Arouca,12,5,4,3,14,18,-4,19,D W D W W,1877
9,Boavista,12,5,2,5,13,19,-6,17,L D L D L,7866
10,Estoril,12,4,4,4,13,15,-2,16,D W L D L,3316
11,Chaves,12,4,4,4,11,15,-4,16,D W W L D,4061
12,Rio Ave,12,4,3,5,15,18,-3,15,W L W L W,2719
13,Vizela,12,3,3,6,9,13,-4,12,W W L D L,2834
14,Famalicao,12,3,2,7,10,16,-6,11,W L W L D,3861
15,Santa Clara,12,2,4,6,8,12,-4,10,L L W D D,2714
16,Gil Vicente,12,2,3,7,10,18,-8,9,L L L L L,4401
17,Maritimo,12,1,3,8,8,26,-18,6,L D D W D,6606
18,Pacos de Ferreira,12,0,2,10,7,24,-17,2,D L L L L,3681
