Team,Yellow Card,Red Card,Second Yellow,Fouls,Fouls Against,Offside,Crosses,Interceptions,Tackles won,Players Used,Average Age,Possession
Arouca,37,3,0,182,155,21,167,128,102,22,26.4,46.2
Benfica,31,3,3,162,148,37,309,153,148,25,26.3,65.9
Boavista,41,2,1,184,165,21,238,131,118,26,27.2,49.2
Braga,37,3,1,177,176,30,327,135,130,24,26.6,55.6
Casa Pia,41,1,1,192,170,22,183,140,135,23,28.7,43.7
Chaves,36,3,1,154,191,20,231,135,113,27,27.6,46.2
Estoril,48,3,3,194,183,19,181,102,121,27,24.5,47.5
Famalicao,35,2,0,190,197,18,258,129,153,25,25.0,46.3
Vizela,48,4,2,177,161,23,257,144,137,25,25.8,40.8
Gil Vicente,28,1,0,182,166,17,278,133,99,26,26.1,50.8
Maritimo,31,2,0,166,197,32,280,146,127,27,26.8,46.8
Pacos de Ferreira,43,5,3,198,196,21,300,119,113,28,25.9,50.3
Portimonense,42,1,0,199,146,22,273,150,123,26,25.5,48.4
Porto,25,1,1,175,164,33,247,131,142,23,27.2,57.2
Rio Ave,40,2,1,171,167,27,222,127,115,25,27.0,47.8
Santa Clara,49,4,2,200,182,26,207,120,135,27,25.7,44.5
Sporting,43,1,0,171,159,26,303,105,125,26,26.5,64.2
Vitoria de Guimaraes,57,4,3,198,208,23,206,140,137,28,25.1,48.7
